value,size
-3.2782554626464844e-07,7
8.940696716308594e-08,5
2.682209014892578e-07,6
-4.172325134277344e-07,3
2.9802322387695312e-08,6
-1.4901161193847656e-06,8
-1.1920928955078125e-07,5
1.6391277313232422e-07,5
2.5331974029541016e-07,7
1.9371509552001953e-07,5
-2.682209014892578e-07,4
-8.273124694824219e-05,6
4.5999884605407715e-05,7
1.1399388313293457e-05,8
-5.960464477539062e-07,7
1.4901161193847656e-08,4
8.940696716308594e-08,6
-4.470348358154297e-08,3
-1.9371509552001953e-07,6
-2.682209014892578e-07,7
4.470348358154297e-08,7
2.5331974029541016e-07,9
-4.470348358154297e-08,5
-1.043081283569336e-07,5
-4.6193599700927734e-07,6
3.878772258758545e-05,5
-8.940696716308594e-08,7
-2.682209014892578e-07,8
7.450580596923828e-08,5
-8.958578109741211e-05,8
-1.6391277313232422e-07,5
8.940696716308594e-08,6
-3.725290298461914e-07,10
-0.0002932697534561157,6
-1.087784767150879e-06,4
2.980232238769531e-07,4
0.0001983642578125,9
2.384185791015625e-07,6
3.3080577850341797e-06,3
-3.8489699363708496e-05,9
1.2069940567016602e-06,9
-9.5367431640625e-07,8
-2.8312206268310547e-07,3
-7.450580596923828e-08,3
7.301568984985352e-07,6
-5.513429641723633e-07,6
-2.9802322387695312e-08,4
-2.384185791015625e-07,7
-8.940696716308594e-08,6
1.043081283569336e-07,4
2.384185791015625e-07,7
-1.4901161193847656e-07,8
4.470348358154297e-08,3
5.960464477539063e-08,4
1.7881393432617188e-07,7
4.470348358154297e-08,6
-1.6376376152038574e-05,8
-1.563131809234619e-05,6
2.384185791015625e-07,7
2.9802322387695312e-08,3
-1.1920928955078125e-07,6
-2.2351741790771484e-07,5
0.00018353760242462158,7
5.513429641723633e-07,6
-1.0132789611816406e-06,6
4.470348358154297e-08,7
5.960464477539063e-08,4
-2.2351741790771484e-07,6
5.066394805908203e-07,8
-3.725290298461914e-07,6
2.9161572456359863e-05,8
8.940696716308594e-08,6
-4.38690185546875e-05,6
-5.066394805908203e-07,6
-1.1920928955078125e-07,4
8.791685104370117e-07,8
4.470348358154297e-08,5
6.884336471557617e-05,10
-5.960464477539063e-08,7
-5.960464477539063e-08,6
0.00011758506298065186,10
1.0281801223754883e-06,8
3.935396671295166e-05,5
2.8312206268310547e-07,6
-3.2782554626464844e-07,5
-8.940696716308594e-08,2
4.470348358154297e-08,5
-7.450580596923828e-07,8
-2.7135014533996582e-05,6
-2.2351741790771484e-07,6
-3.129243850708008e-07,7
4.330277442932129e-05,5
-2.8312206268310547e-07,3
-3.725290298461914e-07,3
-1.259148120880127e-05,5
1.6391277313232422e-07,4
2.8312206268310547e-07,4
-1.7881393432617188e-07,5
6.829202175140381e-05,7
-1.4901161193847656e-08,6
-2.086162567138672e-07,5
2.9802322387695312e-08,6
5.364418029785156e-07,5
0.0007046312093734741,9
2.7418136596679688e-06,4
-8.940696716308594e-08,6
-8.504092693328857e-05,4
-1.9371509552001953e-07,7
2.0712614059448242e-06,9
2.980232238769531e-07,8
2.682209014892578e-07,5
-0.00011169910430908203,9
4.470348358154297e-08,3
5.811452865600586e-07,7
-3.8743019104003906e-07,7
5.88148832321167e-05,8
3.2782554626464844e-07,4
1.5616416931152344e-05,9
3.515183925628662e-05,8
3.427267074584961e-07,4
-8.940696716308594e-08,6
3.820657730102539e-05,5
4.8547983169555664e-05,7
-2.682209014892578e-07,7
-2.8312206268310547e-07,7
-1.9371509552001953e-07,7
-1.7881393432617188e-07,8
-5.960464477539063e-08,5
1.4901161193847656e-07,5
1.1920928955078125e-07,4
8.940696716308594e-08,7
3.725290298461914e-07,6
2.1651387214660645e-05,3
-4.917383193969727e-07,5
8.940696716308594e-08,5
1.0132789611816406e-06,5
4.5105814933776855e-05,8
1.7881393432617188e-07,4
4.276633262634277e-06,9
-3.9577484130859375e-05,6
-4.6193599700927734e-07,8
3.8743019104003906e-07,7
2.086162567138672e-07,6
6.705522537231445e-07,7
3.8743019104003906e-07,4
-4.380941390991211e-05,6
-5.066394805908203e-07,9
5.8710575103759766e-06,5
-1.4901161193847656e-07,5
-4.172325134277344e-07,6
-8.940696716308594e-08,6
1.6003847122192383e-05,6
-4.470348358154297e-08,7
3.725290298461914e-07,7
-3.427267074584961e-07,10
1.9371509552001953e-07,4
3.8743019104003906e-07,6
5.662441253662109e-07,6
-2.5331974029541016e-07,5
-5.960464477539063e-08,6
-8.195638656616211e-07,8
4.6193599700927734e-07,8
-1.4901161193847656e-07,4
6.407499313354492e-07,8
-2.2351741790771484e-07,6
6.407499313354492e-07,8
5.960464477539063e-08,5
1.4901161193847656e-08,7
-8.344650268554688e-07,2
-1.7881393432617188e-07,7
-8.940696716308594e-08,4
4.76837158203125e-07,7
1.043081283569336e-07,5
-8.940696716308594e-08,4
1.4588236808776855e-05,7
-5.21540641784668e-07,10
0.016350537538528442,4
-1.385807991027832e-06,7
-1.7881393432617188e-07,5
1.4901161193847656e-08,4
7.301568984985352e-07,6
-2.384185791015625e-07,7
-6.315112113952637e-05,9
2.682209014892578e-07,6
2.9802322387695312e-08,5
-7.160007953643799e-05,9
-1.7881393432617188e-07,5
1.1920928955078125e-07,4
-3.1828880310058594e-05,7
0.00021374225616455078,7
0.00023630261421203613,8
7.003545761108398e-07,7
-1.341104507446289e-07,3
-2.5331974029541016e-07,4
-2.7492642402648926e-05,9
2.314150333404541e-05,9
-3.725290298461914e-07,8
-1.6391277313232422e-07,7
-1.4901161193847656e-08,3
-1.4901161193847656e-07,5
6.109476089477539e-07,5
5.066394805908203e-07,6
-8.940696716308594e-08,5
-6.407499313354492e-07,6
-1.6391277313232422e-07,4
-5.345046520233154e-05,6
5.619227886199951e-05,10
-7.301568984985352e-07,7
3.5762786865234375e-07,5
7.191300392150879e-05,9
3.844499588012695e-05,5
1.0848045349121094e-05,6
-1.4901161193847656e-08,5
-0.00021551549434661865,9
-4.3213367462158203e-07,6
-4.477798938751221e-05,6
-1.043081283569336e-07,4
3.8743019104003906e-07,5
-1.1026859283447266e-06,8
-4.172325134277344e-07,6
3.725290298461914e-07,7
2.2351741790771484e-07,4
-4.76837158203125e-07,6
8.791685104370117e-07,6
-1.5273690223693848e-05,6
8.344650268554688e-07,7
1.519918441772461e-06,9
-1.2665987014770508e-06,7
-2.8312206268310547e-07,6
-1.043081283569336e-07,6
-3.427267074584961e-07,5
-1.341104507446289e-07,6
-2.2351741790771484e-07,6
9.624660015106201e-05,9
-3.129243850708008e-07,7
-8.940696716308594e-08,8
-1.4901161193847656e-08,5
-3.851950168609619e-05,6
-8.143484592437744e-05,6
-1.043081283569336e-07,5
-6.407499313354492e-07,3
-1.9371509552001953e-07,6
3.8743019104003906e-07,10
2.980232238769531e-07,7
-0.0001551210880279541,8
-2.2351741790771484e-07,7
-4.4658780097961426e-05,7
-1.1920928955078125e-07,7
2.682209014892578e-07,4
3.851950168609619e-05,8
-4.76837158203125e-07,6
7.450580596923828e-08,4
3.129243850708008e-07,7
3.910064697265625e-05,5
-1.4901161193847656e-08,6
7.349252700805664e-05,8
-1.043081283569336e-07,4
-1.9371509552001953e-07,5
1.4424324035644531e-05,7
2.2351741790771484e-07,6
2.8312206268310547e-07,6
2.682209014892578e-07,7
9.94652509689331e-05,9
2.403557300567627e-05,6
2.9802322387695312e-08,4
1.1920928955078125e-07,4
1.6540288925170898e-06,9
4.6193599700927734e-07,6
1.043081283569336e-07,5
-1.6391277313232422e-07,6
-1.7881393432617188e-07,6
-3.5762786865234375e-07,7
-2.9802322387695312e-08,5
0.015245869755744934,3
7.551908493041992e-05,7
3.725290298461914e-07,7
3.324449062347412e-05,6
-0.03005637228488922,2
0.007913127541542053,3
6.705522537231445e-06,8
-9.170174598693848e-05,9
-1.4930963516235352e-05,8
-3.5762786865234375e-07,8
0.007913067936897278,3
1.5035271644592285e-05,7
5.364418029785156e-07,7
-0.00032554566860198975,9
2.5331974029541016e-07,6
-1.6391277313232422e-07,6
1.1280179023742676e-05,5
-2.682209014892578e-07,4
-2.9802322387695312e-08,3
-4.470348358154297e-07,5
2.980232238769531e-07,5
2.9802322387695312e-08,4
-4.6193599700927734e-07,6
8.323788642883301e-05,8
-5.960464477539063e-08,5
-1.6391277313232422e-07,6
-1.4901161193847656e-07,6
-8.940696716308594e-08,3
-1.9371509552001953e-07,6
1.4901161193847656e-07,7
-1.1086463928222656e-05,6
1.9371509552001953e-07,6
-1.043081283569336e-07,4
-1.9371509552001953e-06,9
-1.1026859283447266e-06,8
2.3633241653442383e-05,4
-8.940696716308594e-08,6
8.642673492431641e-07,7
8.642673492431641e-07,7
-3.725290298461914e-07,3
7.301568984985352e-07,7
2.2798776626586914e-06,9
1.341104507446289e-07,6
3.445148468017578e-05,5
-2.5331974029541016e-07,6
5.066394805908203e-07,7
3.427267074584961e-07,6
-1.4901161193847656e-08,5
2.980232238769531e-07,3
0.00018648803234100342,7
4.470348358154297e-08,3
2.1278858184814453e-05,10
-1.341104507446289e-07,4
7.152557373046875e-07,3
-9.08970832824707e-07,8
-0.0001175999641418457,11
1.043081283569336e-07,4
-4.76837158203125e-07,8
-1.6391277313232422e-07,6
5.2362680435180664e-05,6
2.980232238769531e-07,5
-3.725290298461914e-07,6
-3.129243850708008e-07,6
-1.4901161193847656e-08,4
6.705522537231445e-07,7
1.043081283569336e-07,6
-3.793835639953613e-05,6
-6.145238876342773e-05,9
-7.450580596923828e-08,5
-1.6391277313232422e-07,4
-3.2782554626464844e-07,4
-7.450580596923828e-08,5
3.8743019104003906e-07,3
2.682209014892578e-07,6
-1.1920928955078125e-07,5
0.0005616843700408936,7
-5.811452865600586e-07,8
-3.2782554626464844e-07,5
4.172325134277344e-07,6
-5.960464477539062e-07,5
-7.386505603790283e-05,7
-1.3560056686401367e-06,10
-3.5762786865234375e-07,6
-7.450580596923828e-08,4
-6.258487701416016e-07,6
-4.470348358154297e-08,4
-1.4960765838623047e-05,4
2.384185791015625e-07,6
-6.854534149169922e-07,6
0.00018298625946044922,7
2.682209014892578e-07,7
5.513429641723633e-07,6
2.9802322387695312e-08,5
3.129243850708008e-07,4
-7.538497447967529e-05,9
0.0277206152677536,4
-4.3392181396484375e-05,4
-8.940696716308594e-07,7
-1.8835067749023438e-05,7
-9.864568710327148e-05,8
6.556510925292969e-07,4
2.384185791015625e-07,8
-2.9802322387695312e-08,4
2.4139881134033203e-06,7
0.00043357908725738525,7
4.932284355163574e-05,7
1.7881393432617188e-07,6
5.960464477539063e-08,4
-5.811452865600586e-07,6
4.6193599700927734e-07,7
-1.6689300537109375e-06,7
-1.9371509552001953e-07,5
-1.4901161193847656e-08,4
5.960464477539062e-07,5
1.1920928955078125e-07,5
-7.301568984985352e-07,8
1.4901161193847656e-07,6
7.450580596923828e-08,5
4.76837158203125e-07,7
2.384185791015625e-07,4
-1.1920928955078125e-07,3
-5.513429641723633e-07,8
-7.450580596923828e-08,7
2.372264862060547e-05,5
-1.3262033462524414e-06,9
1.4901161193847656e-07,3
5.960464477539063e-08,7
-4.379451274871826e-05,4
2.8312206268310547e-07,5
-1.2665987014770508e-06,8
1.9371509552001953e-07,5
-2.8312206268310547e-07,6
2.8312206268310547e-07,7
3.2782554626464844e-07,7
-8.940696716308594e-08,7
1.4901161193847656e-08,2
-5.811452865600586e-07,6
-4.132091999053955e-05,4
-4.470348358154297e-08,4
-7.450580596923828e-08,5
4.76837158203125e-07,4
1.6391277313232422e-07,5
2.9802322387695312e-08,6
5.960464477539063e-08,6
3.8743019104003906e-07,7
3.546476364135742e-06,4
-7.450580596923828e-08,6
-0.0005601495504379272,11
-5.960464477539063e-08,4
-2.9802322387695312e-08,3
1.9669532775878906e-06,9
0.00013053417205810547,10
-2.682209014892578e-07,6
-5.960464477539062e-07,8
2.9802322387695312e-08,3
-4.6193599700927734e-07,8
1.4901161193847656e-08,4
2.5331974029541016e-07,7
-5.960464477539063e-08,6
-0.0559680312871933,3
-7.450580596923828e-08,6
9.98377799987793e-07,7
-4.3213367462158203e-07,4
3.2782554626464844e-07,4
-9.880959987640381e-05,8
0.00018806755542755127,7
-5.960464477539063e-08,7
-0.0323384553194046,4
5.960464477539063e-08,3
4.470348358154297e-08,3
-6.556510925292969e-07,6
2.9802322387695312e-08,4
2.086162567138672e-07,6
5.960464477539063e-08,5
4.470348358154297e-08,6
4.470348358154297e-08,7
-1.7881393432617188e-07,5
-1.043081283569336e-07,3
-4.6193599700927734e-07,7
6.109476089477539e-07,5
4.6387314796447754e-05,6
-5.723536014556885e-05,9
1.2964010238647461e-05,4
-5.960464477539062e-07,6
2.980232238769531e-07,9
-4.470348358154297e-07,6
1.1920928955078125e-07,4
-4.76837158203125e-07,8
8.018314838409424e-05,7
2.0757317543029785e-05,8
4.023313522338867e-07,8
-3.427267074584961e-07,6
0.029691621661186218,2
-6.258487701416016e-07,8
1.4901161193847656e-08,7
1.7881393432617188e-07,6
-7.450580596923828e-08,4
-3.427267074584961e-07,5
-0.00026610493659973145,8
5.960464477539062e-07,7
4.470348358154297e-08,4
6.556510925292969e-07,6
0.00033468008041381836,10
2.980232238769531e-07,4
-6.556510925292969e-07,6
1.4901161193847656e-08,5
-0.0001779794692993164,8
1.6391277313232422e-07,7
4.917383193969727e-07,6
5.960464477539063e-08,7
-5.513429641723633e-07,6
2.8312206268310547e-07,5
-7.301568984985352e-07,7
-1.5109777450561523e-05,4
0.00031842291355133057,10
-1.519918441772461e-05,8
6.462633609771729e-05,8
2.3871660232543945e-05,9
-4.273653030395508e-05,4
-5.498528480529785e-06,6
-2.086162567138672e-07,4
3.129243850708008e-07,5
7.301568984985352e-05,5
-1.7881393432617188e-07,7
1.4901161193847656e-07,8
3.129243850708008e-07,4
