value,size
8.225440979003906e-06,5
8.940696716308594e-07,5
-0.002154737710952759,8
2.6941299438476562e-05,5
-0.0015178918838500977,5
2.6106834411621094e-05,6
-5.364418029785156e-07,6
0.00018990039825439453,3
9.5367431640625e-07,4
0.000334322452545166,6
-0.00022095441818237305,5
2.682209014892578e-05,3
2.2172927856445312e-05,6
7.748603820800781e-07,5
0.0001518726348876953,4
-6.783008575439453e-05,3
-0.0009082555770874023,8
-2.0265579223632812e-06,3
-9.179115295410156e-06,4
6.556510925292969e-07,5
4.887580871582031e-06,4
-1.430511474609375e-06,6
-0.0003349184989929199,5
4.971027374267578e-05,3
1.627206802368164e-05,4
0.0003895759582519531,4
-0.0003285408020019531,5
-4.76837158203125e-07,5
2.9802322387695312e-06,5
-0.00047329068183898926,7
-4.0531158447265625e-06,5
-7.033348083496094e-06,4
0.00014358758926391602,4
-5.328655242919922e-05,7
-6.198883056640625e-06,4
-5.364418029785156e-07,5
-1.2695789337158203e-05,4
-5.543231964111328e-06,5
-2.562999725341797e-06,6
6.258487701416016e-06,5
-9.40561294555664e-05,2
6.872415542602539e-05,4
7.152557373046875e-07,4
0.00045740604400634766,5
-0.00022163987159729004,5
-4.351139068603516e-06,6
-0.0003427863121032715,7
1.4722347259521484e-05,6
-0.0005460381507873535,4
7.3909759521484375e-06,6
0.0037203729152679443,8
-1.0848045349121094e-05,4
2.473592758178711e-05,5
1.6033649444580078e-05,3
-0.0012053847312927246,4
3.993511199951172e-06,6
0.0035245418548583984,8
-1.7285346984863281e-06,6
8.344650268554688e-07,4
-5.960464477539062e-07,5
-0.03993350267410278,4
8.344650268554688e-07,5
-3.4570693969726562e-06,6
-1.0013580322265625e-05,6
-0.00037425756454467773,7
-0.00011706352233886719,2
1.1622905731201172e-06,6
0.0008290410041809082,5
5.257129669189453e-05,4
0.00012767314910888672,4
1.0728836059570312e-06,6
-2.3245811462402344e-05,6
0.0032026171684265137,9
-2.8312206268310547e-05,3
-3.516674041748047e-06,7
-7.033348083496094e-06,5
-1.0132789611816406e-06,6
0.00012749433517456055,4
-0.00031453371047973633,2
2.5451183319091797e-05,5
-1.817941665649414e-05,6
0.0001608431339263916,8
6.80685043334961e-05,4
1.5854835510253906e-05,6
-5.340576171875e-05,5
2.0503997802734375e-05,5
-0.004193693399429321,7
-1.1324882507324219e-06,6
1.9073486328125e-06,4
0.00028708577156066895,6
-2.682209014892578e-06,6
0.0059032440185546875,2
4.76837158203125e-07,5
4.172325134277344e-07,4
-0.000545501708984375,4
4.76837158203125e-07,5
-2.86102294921875e-06,6
0.0059059858322143555,2
-1.3530254364013672e-05,3
-2.586841583251953e-05,5
-0.00019693374633789062,4
-2.562999725341797e-06,6
-5.155801773071289e-06,7
-9.059906005859375e-06,4
1.7881393432617188e-06,6
2.7060508728027344e-05,5
0.0006216168403625488,7
-5.2928924560546875e-05,5
0.00034105777740478516,5
-0.0005423426628112793,4
-3.7550926208496094e-06,5
1.609325408935547e-05,3
0.0003743767738342285,7
-1.7285346984863281e-06,7
0.002054750919342041,5
-0.0014141201972961426,6
-1.2636184692382812e-05,4
-8.344650268554688e-07,6
0.00010412931442260742,4
0.00047975778579711914,7
0.00045877695083618164,6
4.172325134277344e-06,7
1.33514404296875e-05,6
-4.76837158203125e-07,7
-0.0010810494422912598,4
0.00035265088081359863,6
0.00037354230880737305,7
-2.580881118774414e-05,5
-0.0003693699836730957,6
6.908178329467773e-05,4
6.377696990966797e-06,5
9.5367431640625e-07,4
4.684925079345703e-05,7
0.002191901206970215,5
8.940696716308594e-07,4
-1.138448715209961e-05,4
-1.3113021850585938e-06,6
-1.5735626220703125e-05,4
-9.5367431640625e-07,4
-1.0132789611816406e-06,7
-0.0002467632293701172,2
1.5556812286376953e-05,6
0.0002467036247253418,8
7.033348083496094e-06,6
-0.0040183961391448975,5
-0.0005426406860351562,2
-5.364418029785156e-06,6
-3.0875205993652344e-05,3
4.947185516357422e-06,6
5.662441253662109e-06,4
6.318092346191406e-06,7
2.7000904083251953e-05,3
7.867813110351562e-06,5
-9.801983833312988e-05,9
0.00016030669212341309,6
-0.0003692507743835449,6
-1.4901161193847656e-06,5
-6.258487701416016e-06,4
-1.6689300537109375e-05,6
-3.5762786865234375e-07,6
0.0003892183303833008,4
-0.0005996227264404297,3
0.00019353628158569336,4
-2.980232238769531e-07,7
7.033348083496094e-06,7
-2.384185791015625e-07,7
-2.3663043975830078e-05,6
-6.377696990966797e-06,4
1.1920928955078125e-06,5
-0.0004044175148010254,3
-3.993511199951172e-06,3
-5.0067901611328125e-06,4
-0.0012652873992919922,7
-0.00011482834815979004,7
-2.86102294921875e-06,6
-3.516674041748047e-05,4
-0.001959860324859619,6
-4.351139068603516e-06,4
0.0005206465721130371,6
-0.00036901235580444336,6
7.152557373046875e-07,3
-2.3245811462402344e-06,6
-0.00013571977615356445,3
0.08589363098144531,3
4.172325134277344e-06,7
-1.9073486328125e-06,6
1.2814998626708984e-05,7
6.496906280517578e-06,5
-0.000341951847076416,7
8.344650268554688e-07,5
-5.257129669189453e-05,5
-0.0006128847599029541,5
5.960464477539062e-07,4
1.9848346710205078e-05,5
7.152557373046875e-07,5
-3.337860107421875e-06,6
-4.76837158203125e-07,3
1.5139579772949219e-05,7
-6.783008575439453e-05,3
6.556510925292969e-07,5
1.1324882507324219e-06,7
4.082918167114258e-06,8
-5.364418029785156e-07,3
9.5367431640625e-07,7
8.90493392944336e-05,3
-3.0100345611572266e-05,5
2.562999725341797e-06,6
-2.980232238769531e-07,4
0.03324347734451294,3
-1.138448715209961e-05,4
-0.00012189149856567383,5
-8.344650268554688e-07,6
-0.00010585784912109375,5
-0.0012949109077453613,8
-0.0001391768455505371,7
1.5497207641601562e-06,4
2.3245811462402344e-06,5
-0.0012651681900024414,7
-1.1444091796875e-05,4
5.364418029785156e-07,7
1.817941665649414e-05,5
-0.0006344318389892578,2
4.9173831939697266e-05,3
-2.980232238769531e-07,4
-5.543231964111328e-06,6
2.104043960571289e-05,4
-0.00018143653869628906,5
0.00034040212631225586,5
-1.2516975402832031e-05,4
3.129243850708008e-06,7
-0.0012166500091552734,4
-1.4066696166992188e-05,6
6.318092346191406e-06,5
-6.198883056640625e-06,4
1.5914440155029297e-05,3
-2.980232238769531e-07,4
-0.0010812878608703613,4
-5.334615707397461e-05,5
-1.6450881958007812e-05,6
-0.0001170039176940918,2
-1.2695789337158203e-05,4
4.76837158203125e-07,4
-1.4424324035644531e-05,4
5.2809715270996094e-05,4
-1.8477439880371094e-06,6
-0.0020416676998138428,7
-7.319450378417969e-05,6
-0.0004044771194458008,3
