value,size
-4.470348358154297e-08,5
-2.9802322387695312e-08,5
-0.00017166882753372192,8
1.4901161193847656e-08,5
-5.960464477539063e-08,5
1.4901161193847656e-08,6
-2.9802322387695312e-08,6
-7.450580596923828e-08,3
-2.9802322387695312e-08,4
1.341104507446289e-07,6
1.1175870895385742e-07,5
-1.4901161193847656e-08,3
7.450580596923828e-08,6
-5.960464477539063e-08,5
2.9802322387695312e-08,4
1.0520219802856445e-05,8
-1.4901161193847656e-08,3
1.4901161193847656e-08,4
-1.4901161193847656e-08,5
4.470348358154297e-08,4
2.9802322387695312e-08,6
-1.7881393432617188e-07,5
-2.9802322387695312e-08,3
1.9371509552001953e-07,4
-1.4901161193847656e-08,4
-1.564621925354004e-07,5
-1.4901161193847656e-08,5
-1.4901161193847656e-08,5
2.384185791015625e-07,7
5.960464477539063e-08,5
2.9802322387695312e-08,4
8.940696716308594e-08,7
1.4901161193847656e-08,4
-4.470348358154297e-08,4
7.450580596923828e-08,5
-2.9802322387695312e-08,6
-1.4901161193847656e-08,5
4.470348358154297e-08,2
-1.4901161193847656e-08,4
-1.4901161193847656e-08,4
2.9802322387695312e-08,5
3.725290298461914e-08,5
1.9371509552001953e-07,6
1.4901161193847656e-07,7
8.940696716308594e-08,6
-4.470348358154297e-08,4
4.470348358154297e-08,6
-0.00014472752809524536,8
-2.9802322387695312e-08,5
2.9802322387695312e-08,3
-0.00027666985988616943,8
-1.4901161193847656e-08,4
1.4901161193847656e-08,5
-0.03841908276081085,4
-4.470348358154297e-08,5
-1.341104507446289e-07,6
-5.21540641784668e-08,7
-2.9802322387695312e-08,6
-8.940696716308594e-08,5
1.4901161193847656e-08,4
1.4901161193847656e-08,4
-2.9802322387695312e-08,6
-1.4901161193847656e-08,6
0.00011651217937469482,9
-2.9802322387695312e-08,3
-1.1920928955078125e-07,7
-5.960464477539063e-08,5
-7.450580596923828e-08,6
2.9802322387695312e-08,4
0.00025656819343566895,2
-1.6391277313232422e-07,5
-7.450580596923828e-08,6
-2.1606683731079102e-07,8
2.9802322387695312e-08,4
-8.940696716308594e-08,6
-1.4901161193847656e-08,5
-5.960464477539063e-08,5
0.00014485418796539307,7
-8.940696716308594e-08,6
-0.00026385486125946045,6
7.450580596923828e-08,6
0.006313711404800415,2
2.9802322387695312e-08,5
1.4901161193847656e-08,4
-4.470348358154297e-08,4
-4.470348358154297e-08,5
4.470348358154297e-08,6
0.006313711404800415,2
-1.4901161193847656e-08,3
1.4901161193847656e-08,5
2.9802322387695312e-08,4
1.1920928955078125e-07,6
-1.1354684829711914e-05,7
1.4901161193847656e-08,4
1.4901161193847656e-08,6
-2.9802322387695312e-08,5
1.2665987014770508e-07,7
2.9802322387695312e-08,5
2.9802322387695312e-08,5
-1.4901161193847656e-08,4
8.940696716308594e-08,5
-1.4901161193847656e-08,3
-9.685754776000977e-08,7
-2.086162567138672e-07,7
-7.301568984985352e-07,6
-2.9802322387695312e-08,4
4.470348358154297e-08,6
8.940696716308594e-08,4
3.650784492492676e-07,7
1.4156103134155273e-07,6
7.450580596923828e-08,7
-1.1920928955078125e-07,6
-2.9802322387695312e-08,7
-4.470348358154297e-08,4
-1.043081283569336e-07,6
-5.21540641784668e-08,7
4.470348358154297e-08,5
-3.725290298461914e-08,6
-1.4901161193847656e-08,4
4.470348358154297e-08,5
1.4901161193847656e-08,4
1.9371509552001953e-07,7
4.470348358154297e-08,5
2.9802322387695312e-08,4
4.470348358154297e-08,4
-1.4901161193847656e-08,6
1.4901161193847656e-08,4
1.043081283569336e-07,7
0.00025659799575805664,2
-0.0001248568296432495,8
8.940696716308594e-08,6
-2.2351741790771484e-08,5
0.0005131363868713379,2
2.9802322387695312e-08,6
-8.940696716308594e-08,3
1.6391277313232422e-07,6
1.043081283569336e-07,4
7.450580596923828e-08,7
1.4901161193847656e-08,5
8.121132850646973e-07,9
-2.2351741790771484e-08,6
-1.4901161193847656e-08,5
-5.960464477539063e-08,4
4.470348358154297e-08,6
-1.4901161193847656e-08,6
-1.4901161193847656e-08,4
-2.9802322387695312e-08,3
-6.705522537231445e-08,4
-7.450580596923828e-08,7
-4.023313522338867e-07,7
-1.9371509552001953e-07,7
-8.940696716308594e-08,6
1.4901161193847656e-08,4
-2.9802322387695312e-08,5
1.4901161193847656e-08,3
-1.4901161193847656e-08,4
0.0003856644034385681,7
2.682209014892578e-07,7
-2.9802322387695312e-08,6
-2.9802322387695312e-08,4
5.960464477539063e-08,4
-1.4901161193847656e-07,6
-1.341104507446289e-07,6
-2.9802322387695312e-08,3
7.450580596923828e-08,6
0.04160793125629425,3
2.9802322387695312e-08,7
-4.470348358154297e-08,6
-3.129243850708008e-07,7
-1.4901161193847656e-08,5
1.4901161193847656e-08,7
-2.9802322387695312e-08,5
-1.4901161193847656e-08,5
5.960464477539063e-08,5
-1.4901161193847656e-08,4
1.4901161193847656e-08,5
-1.4901161193847656e-08,5
1.4901161193847656e-08,6
-3.725290298461914e-07,7
2.384185791015625e-07,7
1.1235475540161133e-05,8
-1.4901161193847656e-08,3
-4.470348358154297e-08,7
-2.9802322387695312e-08,3
5.960464477539063e-08,6
0.04160796105861664,3
-1.1920928955078125e-07,5
-4.470348358154297e-08,6
2.2351741790771484e-08,5
2.5331974029541016e-07,8
-1.564621925354004e-07,7
1.4901161193847656e-08,4
2.9802322387695312e-08,5
0.0003857538104057312,7
-1.4901161193847656e-08,4
9.685754776000977e-08,7
0.0005131661891937256,2
2.9802322387695312e-08,4
1.1920928955078125e-07,6
1.4901161193847656e-08,5
6.705522537231445e-08,5
5.960464477539063e-08,4
-1.2665987014770508e-07,7
-1.4901161193847656e-08,4
1.6391277313232422e-07,6
2.9802322387695312e-08,5
2.9802322387695312e-08,3
1.4901161193847656e-08,4
4.470348358154297e-08,4
2.2351741790771484e-07,6
2.9802322387695312e-08,4
-2.9802322387695312e-08,4
-4.470348358154297e-08,4
-1.4901161193847656e-08,6
2.2351741790771484e-08,7
3.2782554626464844e-07,6
-8.940696716308594e-08,7
4.470348358154297e-08,6
-1.043081283569336e-07,6
-6.705522537231445e-08,6
-4.470348358154297e-08,5
-1.4901161193847656e-07,6
1.4901161193847656e-08,4
5.960464477539063e-08,5
-3.203749656677246e-07,8
-1.4901161193847656e-08,4
5.21540641784668e-08,8
-4.965066909790039e-05,6
7.450580596923828e-08,6
0.0039892494678497314,2
2.5331974029541016e-07,8
-5.960464477539063e-08,3
4.470348358154297e-08,4
-0.005460530519485474,3
0.00012478232383728027,7
6.705522537231445e-08,5
-1.043081283569336e-07,6
-1.1377036571502686e-05,7
-2.9802322387695312e-08,4
2.9802322387695312e-08,5
-2.980232238769531e-07,5
-1.341104507446289e-07,5
2.9802322387695312e-08,4
-1.4901161193847656e-08,3
-4.470348358154297e-08,4
1.4156103134155273e-07,7
3.8743019104003906e-07,4
-1.4901161193847656e-07,6
2.9802322387695312e-08,4
1.4901161193847656e-08,4
-5.960464477539063e-08,5
4.470348358154297e-08,4
-1.4901161193847656e-08,6
7.450580596923828e-08,5
8.940696716308594e-08,6
-0.019371166825294495,2
3.725290298461914e-08,7
-8.940696716308594e-08,5
2.8312206268310547e-07,7
-2.9802322387695312e-08,4
-2.9802322387695312e-08,6
7.897615432739258e-07,5
1.043081283569336e-07,5
1.043081283569336e-07,6
-1.4901161193847656e-08,4
1.4901161193847656e-08,5
1.4901161193847656e-07,7
8.940696716308594e-08,6
-1.4901161193847656e-08,4
-7.599592208862305e-07,6
3.129243850708008e-07,7
-5.960464477539063e-08,6
-1.4901161193847656e-08,3
1.4901161193847656e-08,5
2.9802322387695312e-08,5
-1.4901161193847656e-08,4
4.470348358154297e-08,6
-5.960464477539063e-08,5
-1.043081283569336e-07,5
1.4901161193847656e-08,4
4.470348358154297e-08,6
1.341104507446289e-07,6
1.1920928955078125e-07,6
-1.341104507446289e-07,5
2.086162567138672e-07,6
5.960464477539063e-08,5
1.4901161193847656e-07,6
8.195638656616211e-08,6
2.9802322387695312e-08,4
0.0002565532922744751,2
-8.940696716308594e-08,6
-4.470348358154297e-08,6
9.685754776000977e-08,6
0.00025656819343566895,2
2.9802322387695312e-08,5
1.4901161193847656e-08,4
1.4901161193847656e-08,2
-0.005460530519485474,3
1.4901161193847656e-08,4
-2.9802322387695312e-08,4
1.1920928955078125e-07,6
0.006313696503639221,2
2.2351741790771484e-07,6
-8.940696716308594e-08,6
-5.960464477539063e-08,5
-2.086162567138672e-07,6
2.9802322387695312e-08,5
4.470348358154297e-08,4
3.5762786865234375e-07,7
-1.4901161193847656e-08,6
-1.4901161193847656e-08,5
1.4901161193847656e-08,4
1.4901161193847656e-08,5
1.6391277313232422e-07,6
4.470348358154297e-08,4
-1.4901161193847656e-08,5
-4.470348358154297e-08,7
-1.341104507446289e-07,5
-4.470348358154297e-08,5
-2.9802322387695312e-08,3
-1.043081283569336e-07,5
1.4901161193847656e-08,6
-1.4901161193847656e-08,3
-5.21540641784668e-08,6
8.195638656616211e-08,6
4.470348358154297e-08,5
-2.9802322387695312e-08,5
-2.9802322387695312e-08,4
1.341104507446289e-07,7
1.1920928955078125e-07,6
-5.960464477539063e-08,6
2.8312206268310547e-07,7
-0.005460500717163086,3
-1.4901161193847656e-08,5
-5.960464477539063e-08,6
-1.4901161193847656e-07,6
-2.9802322387695312e-08,3
2.9802322387695312e-08,5
-8.940696716308594e-08,3
2.9802322387695312e-08,6
3.129243850708008e-07,7
-8.791685104370117e-07,7
2.9802322387695312e-08,5
0.0002565532922744751,2
-1.4901161193847656e-08,4
-4.470348358154297e-08,6
0.0002565830945968628,2
1.4901161193847656e-08,7
2.9802322387695312e-08,4
-8.940696716308594e-08,6
4.470348358154297e-08,5
9.387731552124023e-07,8
-5.960464477539063e-08,5
8.642673492431641e-07,8
1.4901161193847656e-08,3
-1.4901161193847656e-08,6
-4.470348358154297e-08,6
0.006313711404800415,2
-1.4901161193847656e-08,4
-1.4901161193847656e-08,5
-0.0002635866403579712,8
-7.450580596923828e-08,6
1.9371509552001953e-07,4
-1.4901161193847656e-08,3
0.0002638101577758789,9
-2.9802322387695312e-08,5
1.6391277313232422e-07,7
-7.450580596923828e-08,6
2.5331974029541016e-07,7
-1.1146068572998047e-05,7
-2.9802322387695312e-08,6
-5.960464477539063e-08,3
4.470348358154297e-08,4
-0.00012479722499847412,8
-1.4901161193847656e-08,6
2.9802322387695312e-08,4
8.940696716308594e-08,6
1.4901161193847656e-08,5
-4.470348358154297e-08,3
-1.6391277313232422e-07,5
0.041607990860939026,3
-4.470348358154297e-08,4
-2.9802322387695312e-08,6
0.003989234566688538,2
4.470348358154297e-08,4
1.134723424911499e-05,6
-4.470348358154297e-08,3
4.470348358154297e-08,4
2.9802322387695312e-08,4
2.9802322387695312e-08,3
-1.4901161193847656e-07,5
-1.1160969734191895e-05,7
-1.4901161193847656e-08,4
-2.9802322387695312e-08,4
-1.4901161193847656e-08,4
-4.470348358154297e-08,4
1.4901161193847656e-07,4
-6.258487701416016e-07,5
-2.9802322387695312e-08,5
-1.6391277313232422e-07,5
-2.9802322387695312e-08,5
1.6391277313232422e-07,7
-2.5331974029541016e-07,7
2.9802322387695312e-08,5
-1.1920928955078125e-07,6
-4.470348358154297e-08,3
0.13333044946193695,2
1.4901161193847656e-08,3
2.9802322387695312e-08,6
-1.341104507446289e-07,5
1.7881393432617188e-07,8
4.470348358154297e-08,6
-1.4901161193847656e-08,3
5.960464477539063e-08,5
4.470348358154297e-08,4
-2.9802322387695312e-08,4
7.450580596923828e-08,6
-4.470348358154297e-08,5
-2.9802322387695312e-08,5
-2.9802322387695312e-08,4
-4.470348358154297e-08,3
2.9802322387695312e-08,4
7.450580596923828e-08,7
1.1920928955078125e-07,4
1.862645149230957e-07,7
7.450580596923828e-08,6
8.940696716308594e-08,6
0.00014493614435195923,7
-2.9802322387695312e-08,7
1.1168420314788818e-05,6
2.682209014892578e-07,7
2.9802322387695312e-08,6
-5.960464477539063e-08,6
2.8312206268310547e-07,6
-5.21540641784668e-08,5
-4.470348358154297e-08,4
5.960464477539063e-08,2
1.4901161193847656e-08,4
