value,size
-2.384185791015625e-07,6
4.172325134277344e-07,5
5.960464477539063e-08,4
-2.384185791015625e-07,7
3.3974647521972656e-06,7
1.7881393432617188e-07,5
-1.7285346984863281e-06,5
5.781650543212891e-06,5
1.7285346984863281e-06,3
-1.1920928955078125e-07,5
1.7881393432617188e-07,6
-0.013328135013580322,3
-0.022012948989868164,4
1.1920928955078125e-07,5
1.990795135498047e-05,5
0.0015565752983093262,3
-1.1920928955078125e-07,4
-3.5762786865234375e-07,6
-1.1920928955078125e-07,6
-6.735324859619141e-06,6
8.344650268554688e-07,5
-1.3709068298339844e-06,7
-2.384185791015625e-07,5
4.172325134277344e-07,4
1.7881393432617188e-07,4
-5.960464477539063e-08,5
-2.384185791015625e-07,4
-5.364418029785156e-07,5
-5.364418029785156e-07,7
-5.364418029785156e-07,5
-5.960464477539063e-08,3
-2.7179718017578125e-05,4
3.5762786865234375e-07,5
2.4437904357910156e-06,8
-2.384185791015625e-07,3
5.364418029785156e-07,4
1.1324882507324219e-06,5
-1.5497207641601562e-06,7
-1.0728836059570312e-06,7
7.748603820800781e-07,5
-2.3245811462402344e-06,7
-1.9073486328125e-06,5
-1.9669532775878906e-06,4
8.463859558105469e-06,5
-0.004987895488739014,2
-1.7881393432617188e-07,5
1.0728836059570312e-06,5
5.960464477539062e-07,6
-3.5762786865234375e-07,7
1.1920928955078125e-07,7
2.384185791015625e-07,6
-1.7881393432617188e-07,4
-5.960464477539063e-08,7
5.960464477539063e-08,3
-1.2516975402832031e-06,6
1.0132789611816406e-06,6
-5.960464477539062e-07,4
-3.5762786865234375e-07,4
1.2516975402832031e-06,8
-7.748603820800781e-07,4
9.715557098388672e-06,10
1.0728836059570312e-06,5
5.364418029785156e-07,4
-5.960464477539062e-07,3
1.2516975402832031e-06,6
5.960464477539062e-07,4
-1.0728836059570312e-06,7
0.011041998863220215,3
2.384185791015625e-06,6
6.67572021484375e-06,8
-1.7881393432617188e-06,5
0.0031157732009887695,3
-0.0015567541122436523,2
-7.987022399902344e-06,6
4.0531158447265625e-06,8
1.7881393432617188e-07,6
7.152557373046875e-07,4
7.748603820800781e-07,4
-1.1920928955078125e-07,4
8.344650268554688e-07,4
-4.172325134277344e-07,7
2.980232238769531e-07,5
-8.344650268554688e-07,6
2.980232238769531e-07,7
4.172325134277344e-07,4
-1.1324882507324219e-06,6
-4.172325134277344e-07,4
2.086162567138672e-06,5
-7.152557373046875e-07,7
6.020069122314453e-06,5
1.1920928955078125e-07,6
5.364418029785156e-07,6
5.960464477539063e-08,9
-2.384185791015625e-07,5
-3.5762786865234375e-07,5
-3.7550926208496094e-06,7
-3.814697265625e-06,5
1.1920928955078125e-07,5
2.980232238769531e-07,6
3.993511199951172e-06,4
-2.384185791015625e-07,4
-1.7881393432617188e-07,5
-6.556510925292969e-07,7
4.6312808990478516e-05,8
-9.5367431640625e-07,5
-1.7881393432617188e-07,4
1.6093254089355469e-06,7
2.8014183044433594e-06,3
2.6226043701171875e-06,6
1.9669532775878906e-06,6
2.384185791015625e-07,4
1.0132789611816406e-06,5
-2.2649765014648438e-06,6
1.7881393432617188e-07,5
-1.0728836059570312e-06,7
5.960464477539063e-08,5
0.0015581846237182617,3
9.5367431640625e-07,4
1.1324882507324219e-06,4
5.960464477539062e-07,5
-1.2516975402832031e-06,5
2.384185791015625e-07,5
