,budget,budget_upper_bound,max_neighborhood_size,n_players
0,16629,False,2,47
1,879,False,2,11
2,192,False,2,9
3,511,False,2,10
4,1175,False,2,16
5,320,False,2,9
6,759,False,2,11
7,583,False,2,10
8,448,False,2,17
9,176,False,2,9
10,8717,False,2,77
11,311,False,2,11
12,225,False,2,11
13,256,False,2,8
14,1191,False,2,20
15,80,False,2,11
16,896,False,2,11
17,384,False,2,9
18,10491,False,2,65
19,1792,False,2,12
20,806,False,2,11
21,544,False,2,11
22,288,False,2,9
23,607,False,2,10
24,16,False,2,4
25,927,False,2,12
26,1463,False,2,11
27,3015,False,2,20
28,224,False,2,9
29,415,False,2,12
30,384,False,2,10
31,176,False,2,10
32,562,False,2,11
33,303,False,2,10
34,512,False,2,9
35,3033,False,2,20
36,503,False,2,11
37,160,False,2,10
38,256,False,2,8
39,767,False,2,12
40,576,False,2,10
41,576,False,2,12
42,2855,False,2,19
43,3978,False,2,51
44,208,False,2,9
45,112,False,2,9
46,719,False,2,12
47,864,False,2,12
48,384,False,2,10
49,599,False,2,11
50,758,False,2,11
51,320,False,2,10
52,512,False,2,9
53,1411,False,2,12
54,567,False,2,12
55,823,False,2,11
56,6668,False,2,35
57,598,False,2,11
58,2191,False,2,36
59,896,False,2,11
60,128,False,2,7
61,1263,False,2,12
62,4,False,2,2
63,7844,False,2,56
64,304,False,2,10
65,256,False,2,8
66,208,False,2,10
67,256,False,2,8
68,2261,False,2,30
69,256,False,2,8
70,775,False,2,12
71,295,False,2,12
72,510,False,2,10
73,648,False,2,12
74,672,False,2,11
75,520,False,2,12
76,2703,False,2,36
77,311,False,2,9
78,256,False,2,8
79,879,False,2,11
80,687,False,2,11
81,928,False,2,11
82,311,False,2,11
83,1376,False,2,11
84,1440,False,2,12
85,880,False,2,10
86,512,False,2,9
87,1632,False,2,12
88,303,False,2,10
89,192,False,2,11
90,407,False,2,9
91,352,False,2,10
92,576,False,2,10
93,759,False,2,12
94,144,False,2,9
95,503,False,2,10
96,161,False,2,10
97,576,False,2,12
98,2039,False,2,26
99,695,False,2,12
100,640,False,2,10
101,784,False,2,10
102,319,False,2,11
103,112,False,2,10
104,503,False,2,11
105,384,False,2,12
106,112,False,2,8
107,351,False,2,9
108,503,False,2,11
109,407,False,2,11
110,806,False,2,11
111,1599,False,2,31
112,256,False,2,8
113,3013,False,2,41
114,695,False,2,11
115,896,False,2,11
116,439,False,2,10
117,1135,False,2,12
118,448,False,2,10
119,512,False,2,9
120,3207,False,2,23
121,867,False,2,12
122,256,False,2,8
123,256,False,2,8
124,207,False,2,8
125,10827,False,2,67
126,399,False,2,11
127,183,False,2,8
128,375,False,2,10
129,743,False,2,11
130,512,False,2,9
131,2094,False,2,25
132,671,False,2,10
133,839,False,2,11
134,535,False,2,12
135,959,False,2,11
136,208,False,2,11
137,2255,False,2,41
138,480,False,2,11
139,1655,False,2,24
140,431,False,2,11
141,6610,False,2,57
142,767,False,2,11
143,64,False,2,6
144,311,False,2,11
145,5546,False,2,46
146,510,False,2,10
147,384,False,2,9
148,487,False,2,12
149,934,False,2,12
150,7596,False,2,58
151,511,False,2,11
152,223,False,2,8
153,160,False,2,9
154,563,False,2,11
155,1430,False,2,19
156,240,False,2,11
157,935,False,2,12
158,54,False,2,12
159,1631,False,2,13
160,480,False,2,12
161,400,False,2,12
162,3078,False,2,20
163,1671,False,2,12
164,463,False,2,11
165,119,False,2,7
166,7596,False,2,58
167,1581,False,2,38
168,831,False,2,11
169,831,False,2,11
170,512,False,2,9
171,2474,False,2,20
172,2039,False,2,26
173,3303,False,2,29
174,291,False,2,9
175,599,False,2,11
176,65,False,2,12
177,256,False,2,8
178,1660,False,2,11
179,448,False,2,10
180,256,False,2,8
181,734,False,2,12
182,96,False,2,9
183,224,False,2,9
184,2031,False,2,31
185,704,False,2,11
186,1199,False,2,12
187,3015,False,2,20
188,6553,False,2,63
189,304,False,2,12
190,399,False,2,10
191,112,False,2,9
192,1024,False,2,10
193,695,False,2,12
194,376,False,2,11
195,327,False,2,9
196,224,False,2,10
197,935,False,2,11
198,896,False,2,11
199,608,False,2,10
200,1024,False,2,10
201,144,False,2,11
202,240,False,2,11
203,1303,False,2,23
204,771,False,2,11
205,1414,False,2,19
206,375,False,2,12
207,608,False,2,11
208,887,False,2,21
209,448,False,2,10
210,519,False,2,10
211,1343,False,2,12
212,711,False,2,10
213,480,False,2,12
214,903,False,2,12
215,448,False,2,10
216,352,False,2,9
217,511,False,2,10
218,208,False,2,12
219,256,False,2,8
220,3550,False,2,53
221,192,False,2,12
222,449,False,2,12
223,960,False,2,12
224,429,False,2,11
225,831,False,2,11
226,1199,False,2,12
227,1775,False,2,34
228,311,False,2,9
229,208,False,2,12
230,3015,False,2,20
231,1088,False,2,11
232,383,False,2,10
233,2048,False,2,11
234,480,False,2,11
235,467,False,2,10
236,1928,False,2,30
237,128,False,2,7
238,1534,False,2,19
239,208,False,2,12
240,192,False,2,11
241,2062,False,2,30
242,319,False,2,11
243,974,False,2,12
244,256,False,2,8
245,16693,False,2,46
246,640,False,2,12
247,128,False,2,8
248,144,False,2,12
249,26,False,2,10
250,256,False,2,11
251,512,False,2,9
252,512,False,2,9
253,279,False,2,10
254,531,False,2,11
255,448,False,2,11
256,448,False,2,11
257,624,False,2,10
258,5071,False,2,24
259,992,False,2,12
260,121,False,2,9
261,4459,False,2,47
262,64,False,2,6
263,767,False,2,11
264,960,False,2,12
265,272,False,2,11
266,5946,False,2,48
267,512,False,2,9
268,384,False,2,12
269,1102,False,2,12
270,80,False,2,8
271,384,False,2,10
272,659,False,2,11
273,831,False,2,11
274,767,False,2,11
275,256,False,2,10
276,711,False,2,10
277,767,False,2,11
278,368,False,2,11
279,208,False,2,10
280,1184,False,2,11
281,128,False,2,7
282,66,False,2,8
283,392,False,2,11
284,448,False,2,11
285,263,False,2,12
286,1191,False,2,20
287,734,False,2,12
288,352,False,2,10
289,239,False,2,9
290,10685,False,2,85
291,208,False,2,10
292,275,False,2,11
293,919,False,2,12
294,767,False,2,11
295,64,False,2,6
296,831,False,2,11
297,688,False,2,12
298,1351,False,2,12
299,1535,False,2,12
300,288,False,2,12
301,867,False,2,12
302,927,False,2,12
303,673,False,2,12
304,288,False,2,9
305,7594,False,2,56
306,3094,False,2,21
307,640,False,2,10
308,1919,False,2,12
309,416,False,2,9
310,640,False,2,10
311,96,False,2,8
312,503,False,2,10
313,192,False,2,10
314,448,False,2,11
315,272,False,2,12
316,128,False,2,11
317,19,False,2,7
318,160,False,2,8
319,64,False,2,6
320,894,False,2,12
321,375,False,2,10
322,582,False,2,11
323,592,False,2,12
324,774,False,2,12
325,66,False,2,8
326,480,False,2,11
327,384,False,2,9
328,1102,False,2,12
329,65,False,2,12
330,3960,False,2,39
331,1760,False,2,12
332,1004,False,2,11
333,3302,False,2,21
334,208,False,2,11
335,208,False,2,10
336,598,False,2,11
337,240,False,2,10
338,327,False,2,9
339,4483,False,2,56
340,80,False,2,7
341,503,False,2,11
342,2382,False,2,19
343,8027,False,2,45
344,337,False,2,12
345,687,False,2,11
346,353,False,2,11
347,1004,False,2,11
348,193,False,2,12
349,351,False,2,9
350,1024,False,2,10
351,4,False,2,2
352,743,False,2,12
353,207,False,2,8
354,419,False,2,10
355,3047,False,2,21
356,512,False,2,9
357,1102,False,2,12
358,711,False,2,10
359,1408,False,2,12
360,1239,False,2,22
361,224,False,2,10
362,253,False,2,10
363,1775,False,2,34
364,5245,False,2,49
365,751,False,2,10
366,224,False,2,10
367,560,False,2,11
368,256,False,2,8
369,291,False,2,9
370,672,False,2,10
371,1152,False,2,11
372,1392,False,2,11
373,767,False,2,11
374,231,False,2,8
375,192,False,2,12
376,448,False,2,12
377,439,False,2,10
378,176,False,2,10
379,416,False,2,9
380,919,False,2,12
381,256,False,2,8
382,1591,False,2,13
383,7636,False,2,54
384,439,False,2,10
385,672,False,2,10
386,815,False,2,12
387,562,False,2,11
388,559,False,2,12
389,711,False,2,10
390,9945,False,2,76
391,1431,False,2,12
392,1638,False,2,21
393,934,False,2,12
394,592,False,2,12
395,512,False,2,9
396,399,False,2,9
397,259,False,2,10
398,5102,False,2,37
399,608,False,2,11
400,256,False,2,8
401,640,False,2,10
402,416,False,2,11
403,256,False,2,8
404,8180,False,2,53
405,636,False,2,10
406,3462,False,2,54
407,4521,False,2,23
408,806,False,2,11
409,311,False,2,9
410,1759,False,2,33
411,448,False,2,11
412,247,False,2,11
413,511,False,2,10
414,759,False,2,12
415,303,False,2,10
416,1495,False,2,24
417,1008,False,2,12
418,208,False,2,10
419,951,False,2,12
420,1856,False,2,12
421,3581,False,2,23
422,224,False,2,9
423,71,False,2,9
424,8708,False,2,56
425,119,False,2,7
426,240,False,2,10
427,352,False,2,9
428,257,False,2,11
429,2855,False,2,19
430,515,False,2,11
431,895,False,2,12
432,224,False,2,9
433,7595,False,2,57
434,704,False,2,11
435,3175,False,2,22
436,128,False,2,7
437,391,False,2,9
438,807,False,2,11
439,353,False,2,11
440,512,False,2,9
441,128,False,2,10
442,511,False,2,10
443,1983,False,2,24
444,512,False,2,9
445,577,False,2,11
446,287,False,2,11
447,400,False,2,12
448,208,False,2,10
449,1391,False,2,12
450,544,False,2,10
451,559,False,2,11
452,176,False,2,9
453,11149,False,2,95
454,387,False,2,9
455,2071,False,2,23
456,688,False,2,12
457,895,False,2,12
458,1390,False,2,15
459,256,False,2,8
460,128,False,2,7
461,1543,False,2,23
462,64,False,2,6
463,11,False,2,6
464,1001,False,2,12
465,806,False,2,11
466,544,False,2,11
467,1024,False,2,10
468,734,False,2,12
469,9276,False,2,44
470,3175,False,2,22
471,128,False,2,8
472,1887,False,2,35
473,880,False,2,10
474,759,False,2,11
475,2048,False,2,11
476,1007,False,2,12
477,256,False,2,8
478,231,False,2,8
479,539,False,2,10
480,1071,False,2,12
481,1344,False,2,12
482,576,False,2,10
483,1184,False,2,11
484,384,False,2,9
485,734,False,2,12
486,608,False,2,10
487,513,False,2,10
488,407,False,2,11
489,2215,False,2,36
490,208,False,2,12
491,480,False,2,11
492,1311,False,2,17
493,831,False,2,11
494,672,False,2,11
495,503,False,2,11
496,66,False,2,8
497,208,False,2,10
498,640,False,2,10
499,799,False,2,12
500,2657,False,2,23
501,32,False,2,5
502,416,False,2,9
503,320,False,2,10
504,1838,False,2,22
505,695,False,2,11
506,272,False,2,11
507,448,False,2,10
508,1654,False,2,23
509,64,False,2,6
510,112,False,2,10
511,431,False,2,11
512,383,False,2,12
513,1024,False,2,10
514,128,False,2,7
515,703,False,2,12
516,320,False,2,11
517,3894,False,2,81
518,375,False,2,10
519,160,False,2,9
520,543,False,2,12
521,16501,False,2,46
522,16,False,2,4
523,288,False,2,9
524,352,False,2,10
525,336,False,2,11
