,budget,budget_upper_bound,max_neighborhood_size,n_players
0,228631040,True,4,30
1,228631040,True,4,30
2,51298816,True,4,27
3,198388736,True,4,34
4,133053952,True,4,40
5,186531328,True,4,41
6,132578816,True,4,38
7,149290496,True,4,44
8,125117952,True,4,44
9,76631808,True,4,28
10,51298816,True,4,27
11,240131584,True,4,41
12,279898624,True,4,32
13,246289984,True,4,32
14,738656768,True,4,47
15,245720064,True,4,31
16,248873472,True,4,40
17,252629504,True,4,41
18,357972480,True,4,45
19,792648192,True,4,50
20,792648192,True,4,50
21,2438739456,True,4,53
22,451127808,True,4,45
23,1717652480,True,4,42
24,295513344,True,4,59
25,293194240,True,4,49
26,291142144,True,4,46
27,288493312,True,4,36
28,333441536,True,4,52
29,288745984,True,4,44
30,327400192,True,4,56
31,298756608,True,4,45
32,507439872,True,4,60
33,311962112,True,4,47
34,507173376,True,4,50
35,279898624,True,4,32
36,313266816,True,4,50
37,508478080,True,4,53
38,509806592,True,4,57
39,552923648,True,4,64
40,319414784,True,4,56
41,313844736,True,4,51
42,314595328,True,4,54
43,425017856,True,4,64
44,320610816,True,4,57
45,248873472,True,4,40
46,252629504,True,4,41
47,246776064,True,4,37
48,250926592,True,4,43
49,252445184,True,4,46
50,255521280,True,4,50
51,554279424,True,4,57
52,267028992,True,4,46
53,75417973248,True,4,58
54,253424128,True,4,44
55,261288448,True,4,47
56,265769472,True,4,49
57,263258624,True,4,48
58,258011648,True,4,45
59,251143168,True,4,44
60,268392448,True,4,47
61,285279232,True,4,50
62,1510706176,True,4,53
63,293614592,True,4,54
64,270804480,True,4,48
65,278699520,True,4,54
66,254749184,True,4,49
67,269910528,True,4,51
68,295513344,True,4,59
69,312376064,True,4,67
70,308923136,True,4,67
71,360496640,True,4,71
72,295513344,True,4,59
73,295513344,True,4,59
74,295513344,True,4,59
75,295513344,True,4,59
76,295513344,True,4,59
77,295513344,True,4,59
78,429862144,True,4,62
79,311747840,True,4,62
80,297884928,True,4,62
81,297884928,True,4,62
82,302470400,True,4,61
83,423017728,True,4,65
84,309966080,True,4,65
85,294278400,True,4,58
