,budget,budget_upper_bound,max_neighborhood_size,n_players
0,103,False,1,17
1,74,False,1,13
2,74,False,1,13
3,124,False,1,19
4,61,False,1,11
5,184,False,1,28
6,90,False,1,16
7,123,False,1,20
8,70,False,1,12
9,107,False,1,17
10,103,False,1,17
11,132,False,1,20
12,144,False,1,22
13,78,False,1,13
14,124,False,1,19
15,144,False,1,22
16,61,False,1,11
17,107,False,1,17
18,74,False,1,13
19,111,False,1,18
20,102,False,1,18
21,107,False,1,17
22,153,False,1,23
23,195,False,1,27
24,107,False,1,17
25,73,False,1,13
26,153,False,1,23
27,107,False,1,17
28,147,False,1,23
29,153,False,1,23
30,144,False,1,22
31,142,False,1,24
32,151,False,1,23
33,74,False,1,13
34,107,False,1,17
35,82,False,1,14
36,90,False,1,17
37,82,False,1,15
38,86,False,1,15
39,74,False,1,13
40,107,False,1,17
41,78,False,1,13
42,124,False,1,19
43,103,False,1,17
44,65,False,1,12
45,153,False,1,23
46,144,False,1,22
47,103,False,1,17
48,123,False,1,20
49,94,False,1,16
50,173,False,1,26
51,173,False,1,26
52,119,False,1,19
53,119,False,1,19
54,82,False,1,14
55,103,False,1,17
56,122,False,1,21
57,169,False,1,25
58,153,False,1,23
59,114,False,1,19
60,107,False,1,17
61,61,False,1,11
62,126,False,1,23
63,127,False,1,20
64,94,False,1,16
65,90,False,1,16
66,132,False,1,20
67,153,False,1,23
68,119,False,1,19
69,86,False,1,14
70,173,False,1,26
71,99,False,1,16
72,90,False,1,16
73,153,False,1,23
74,102,False,1,18
75,53,False,1,10
76,90,False,1,16
77,90,False,1,16
78,103,False,1,17
79,124,False,1,19
80,65,False,1,12
81,164,False,1,25
82,99,False,1,16
83,57,False,1,11
84,153,False,1,23
85,153,False,1,23
86,99,False,1,16
87,65,False,1,12
88,78,False,1,13
89,153,False,1,23
90,169,False,1,25
91,124,False,1,19
92,153,False,1,23
93,124,False,1,19
94,114,False,1,19
95,164,False,1,25
96,111,False,1,18
97,74,False,1,13
98,95,False,1,15
99,90,False,1,16
100,153,False,1,23
101,167,False,1,26
102,124,False,1,19
103,153,False,1,23
104,103,False,1,17
105,132,False,1,20
106,164,False,1,25
107,124,False,1,19
108,194,False,1,28
109,142,False,1,24
110,57,False,1,11
111,95,False,1,15
112,73,False,1,13
113,90,False,1,16
114,70,False,1,12
115,53,False,1,10
116,122,False,1,21
117,153,False,1,23
118,122,False,1,21
119,78,False,1,13
120,164,False,1,25
121,132,False,1,21
122,98,False,1,17
123,61,False,1,11
124,124,False,1,19
125,123,False,1,20
126,122,False,1,21
127,95,False,1,15
128,77,False,1,14
129,57,False,1,11
130,102,False,1,19
131,57,False,1,11
132,135,False,1,21
133,144,False,1,22
134,61,False,1,11
135,132,False,1,20
136,144,False,1,22
137,78,False,1,13
138,61,False,1,11
139,94,False,1,16
140,61,False,1,11
141,127,False,1,20
142,61,False,1,12
143,61,False,1,11
144,90,False,1,16
145,90,False,1,16
146,78,False,1,13
147,95,False,1,15
148,123,False,1,20
149,65,False,1,12
150,70,False,1,12
151,144,False,1,22
152,95,False,1,15
153,70,False,1,12
154,77,False,1,14
155,70,False,1,12
156,132,False,1,20
157,123,False,1,20
158,132,False,1,20
159,81,False,1,14
160,173,False,1,26
161,142,False,1,24
162,144,False,1,22
163,144,False,1,22
164,124,False,1,19
165,148,False,1,23
166,144,False,1,22
167,57,False,1,11
168,73,False,1,13
169,103,False,1,17
170,142,False,1,24
171,70,False,1,12
172,122,False,1,21
173,144,False,1,22
174,143,False,1,22
175,70,False,1,12
176,123,False,1,20
177,78,False,1,13
178,122,False,1,22
179,194,False,1,28
180,61,False,1,11
181,82,False,1,14
182,144,False,1,22
183,144,False,1,22
184,73,False,1,13
185,70,False,1,12
186,132,False,1,21
187,99,False,1,16
