,budget,budget_upper_bound,max_neighborhood_size,n_players
0,167745792,True,4,47
1,2048,False,4,11
2,512,False,4,9
3,1024,False,4,10
4,49152,False,4,16
5,512,False,4,9
6,2048,False,4,11
7,1024,False,4,10
8,20480,False,4,17
9,512,False,4,9
10,3932161,False,4,77
11,2048,False,4,11
12,2039,False,4,11
13,256,False,4,8
14,102400,False,4,20
15,80,False,4,11
16,2048,False,4,11
17,512,False,4,9
18,7454721,False,4,65
19,4096,False,4,12
20,2048,False,4,11
21,2048,False,4,11
22,512,False,4,9
23,1024,False,4,10
24,16,False,4,4
25,4096,False,4,12
26,2048,False,4,11
27,786432,False,4,20
28,512,False,4,9
29,4096,False,4,12
30,1024,False,4,10
31,1024,False,4,10
32,2048,False,4,11
33,1024,False,4,10
34,512,False,4,9
35,1048576,False,4,20
36,2048,False,4,11
37,1024,False,4,10
38,256,False,4,8
39,4096,False,4,12
40,1024,False,4,10
41,4096,False,4,12
42,393216,False,4,19
43,200703,False,4,51
44,257,False,4,9
45,512,False,4,9
46,4096,False,4,12
47,4096,False,4,12
48,1024,False,4,10
49,2048,False,4,11
50,2048,False,4,11
51,1024,False,4,10
52,512,False,4,9
53,4096,False,4,12
54,4096,False,4,12
55,2048,False,4,11
56,40140416,True,4,35
57,2048,False,4,11
58,215040,False,4,36
59,2048,False,4,11
60,128,False,4,7
61,4096,False,4,12
62,4,False,4,2
63,2420736,False,4,56
64,1024,False,4,10
65,256,False,4,8
66,1024,False,4,10
67,256,False,4,8
68,2514944,False,4,30
69,256,False,4,8
70,4096,False,4,12
71,4096,False,4,12
72,1024,False,4,10
73,4096,False,4,12
74,2048,False,4,11
75,2049,False,4,12
76,829441,False,4,36
77,512,False,4,9
78,256,False,4,8
79,2048,False,4,11
80,2048,False,4,11
81,2048,False,4,11
82,2048,False,4,11
83,2048,False,4,11
84,4096,False,4,12
85,1024,False,4,10
86,512,False,4,9
87,4096,False,4,12
88,1024,False,4,10
89,2048,False,4,11
90,512,False,4,9
91,1024,False,4,10
92,1024,False,4,10
93,4096,False,4,12
94,512,False,4,9
95,1024,False,4,10
96,1023,False,4,10
97,4096,False,4,12
98,409600,False,4,26
99,4096,False,4,12
100,1024,False,4,10
101,1024,False,4,10
102,2048,False,4,11
103,768,False,4,10
104,2048,False,4,11
105,4096,False,4,12
106,256,False,4,8
107,512,False,4,9
108,2048,False,4,11
109,2048,False,4,11
110,2048,False,4,11
111,139008,False,4,31
112,256,False,4,8
113,287233,False,4,41
114,2048,False,4,11
115,2048,False,4,11
116,1024,False,4,10
117,4096,False,4,12
118,1024,False,4,10
119,512,False,4,9
120,1900544,False,4,23
121,4096,False,4,12
122,256,False,4,8
123,256,False,4,8
124,256,False,4,8
125,9445377,False,4,67
126,2048,False,4,11
127,256,False,4,8
128,1024,False,4,10
129,2048,False,4,11
130,512,False,4,9
131,475136,False,4,25
132,1024,False,4,10
133,2048,False,4,11
134,4096,False,4,12
135,2048,False,4,11
136,2048,False,4,11
137,600064,False,4,41
138,2048,False,4,11
139,212992,False,4,24
140,2048,False,4,11
141,3966976,False,4,57
142,2048,False,4,11
143,64,False,4,6
144,2048,False,4,11
145,1394688,False,4,46
146,1024,False,4,10
147,512,False,4,9
148,4096,False,4,12
149,4096,False,4,12
150,2129922,False,4,58
151,2048,False,4,11
152,256,False,4,8
153,512,False,4,9
154,2048,False,4,11
155,131072,False,4,19
156,2048,False,4,11
157,4096,False,4,12
158,54,False,4,12
159,8192,False,4,13
160,4096,False,4,12
161,4096,False,4,12
162,786432,False,4,20
163,4096,False,4,12
164,2048,False,4,11
165,128,False,4,7
166,2129922,False,4,58
167,90111,False,4,38
168,2048,False,4,11
169,2048,False,4,11
170,512,False,4,9
171,655360,False,4,20
172,409600,False,4,26
173,2302976,False,4,29
174,512,False,4,9
175,2048,False,4,11
176,65,False,4,12
177,256,False,4,8
178,2048,False,4,11
179,1024,False,4,10
180,256,False,4,8
181,4096,False,4,12
182,512,False,4,9
183,512,False,4,9
184,569344,False,4,31
185,2048,False,4,11
186,4096,False,4,12
187,786432,False,4,20
188,2221056,False,4,63
189,4096,False,4,12
190,1024,False,4,10
191,512,False,4,9
192,1024,False,4,10
193,4096,False,4,12
194,1025,False,4,11
195,512,False,4,9
196,1024,False,4,10
197,2048,False,4,11
198,2048,False,4,11
199,1024,False,4,10
200,1024,False,4,10
201,1280,False,4,11
202,2048,False,4,11
203,131072,False,4,23
204,2048,False,4,11
205,63488,False,4,19
206,4096,False,4,12
207,2048,False,4,11
208,69632,False,4,21
209,1024,False,4,10
210,1024,False,4,10
211,4096,False,4,12
212,1024,False,4,10
213,4096,False,4,12
214,4096,False,4,12
215,1024,False,4,10
216,512,False,4,9
217,1024,False,4,10
218,2560,False,4,12
219,256,False,4,8
220,858624,False,4,53
221,2048,False,4,12
222,2049,False,4,12
223,4096,False,4,12
224,2048,False,4,11
225,2048,False,4,11
226,4096,False,4,12
227,299008,False,4,34
228,512,False,4,9
229,3072,False,4,12
230,786432,False,4,20
231,2048,False,4,11
232,1024,False,4,10
233,2048,False,4,11
234,2048,False,4,11
235,1024,False,4,10
236,124929,False,4,30
237,128,False,4,7
238,524288,False,4,19
239,2560,False,4,12
240,2048,False,4,11
241,203776,False,4,30
242,2048,False,4,11
243,4096,False,4,12
244,256,False,4,8
245,243586304,True,4,46
246,4096,False,4,12
247,256,False,4,8
248,1280,False,4,12
249,26,False,4,10
250,2048,False,4,11
251,512,False,4,9
252,512,False,4,9
253,1024,False,4,10
254,2048,False,4,11
255,2048,False,4,11
256,2048,False,4,11
257,1024,False,4,10
258,16777216,True,4,24
259,4096,False,4,12
260,130,False,4,9
261,2013184,False,4,47
262,64,False,4,6
263,2048,False,4,11
264,4096,False,4,12
265,2048,False,4,11
266,1593344,False,4,48
267,512,False,4,9
268,4096,False,4,12
269,4096,False,4,12
270,256,False,4,8
271,1024,False,4,10
272,2048,False,4,11
273,2048,False,4,11
274,2048,False,4,11
275,1024,False,4,10
276,1024,False,4,10
277,2048,False,4,11
278,2048,False,4,11
279,1024,False,4,10
280,2048,False,4,11
281,128,False,4,7
282,66,False,4,8
283,1025,False,4,11
284,2048,False,4,11
285,3072,False,4,12
286,102400,False,4,20
287,4096,False,4,12
288,1024,False,4,10
289,512,False,4,9
290,29798402,True,4,85
291,1024,False,4,10
292,2048,False,4,11
293,4096,False,4,12
294,2048,False,4,11
295,64,False,4,6
296,2048,False,4,11
297,2049,False,4,12
298,4096,False,4,12
299,4096,False,4,12
300,4096,False,4,12
301,4096,False,4,12
302,4096,False,4,12
303,2049,False,4,12
304,512,False,4,9
305,2129920,False,4,56
306,2097152,False,4,21
307,1024,False,4,10
308,4096,False,4,12
309,512,False,4,9
310,1024,False,4,10
311,256,False,4,8
312,1024,False,4,10
313,1024,False,4,10
314,1025,False,4,11
315,3072,False,4,12
316,1024,False,4,11
317,19,False,4,7
318,256,False,4,8
319,64,False,4,6
320,4096,False,4,12
321,1024,False,4,10
322,2048,False,4,11
323,4096,False,4,12
324,4096,False,4,12
325,66,False,4,8
326,2048,False,4,11
327,512,False,4,9
328,4096,False,4,12
329,65,False,4,12
330,1028098,False,4,39
331,4096,False,4,12
332,2048,False,4,11
333,2097152,False,4,21
334,2048,False,4,11
335,1024,False,4,10
336,2048,False,4,11
337,1024,False,4,10
338,512,False,4,9
339,2515968,False,4,56
340,128,False,4,7
341,2048,False,4,11
342,294912,False,4,19
343,78705664,True,4,45
344,4096,False,4,12
345,2048,False,4,11
346,1025,False,4,11
347,2048,False,4,11
348,2597,False,4,12
349,512,False,4,9
350,1024,False,4,10
351,4,False,4,2
352,4096,False,4,12
353,256,False,4,8
354,1024,False,4,10
355,1310720,False,4,21
356,512,False,4,9
357,4096,False,4,12
358,1024,False,4,10
359,4096,False,4,12
360,114688,False,4,22
361,1024,False,4,10
362,1024,False,4,10
363,299008,False,4,34
364,1155073,False,4,49
365,1024,False,4,10
366,1024,False,4,10
367,2048,False,4,11
368,256,False,4,8
369,512,False,4,9
370,1024,False,4,10
371,2048,False,4,11
372,2048,False,4,11
373,2048,False,4,11
374,256,False,4,8
375,2048,False,4,12
376,4096,False,4,12
377,1024,False,4,10
378,1024,False,4,10
379,512,False,4,9
380,4096,False,4,12
381,256,False,4,8
382,8192,False,4,13
383,2297856,False,4,54
384,1024,False,4,10
385,1024,False,4,10
386,4096,False,4,12
387,2048,False,4,11
388,4096,False,4,12
389,1024,False,4,10
390,2420737,False,4,76
391,4096,False,4,12
392,229376,False,4,21
393,4096,False,4,12
394,4096,False,4,12
395,512,False,4,9
396,512,False,4,9
397,259,False,4,10
398,219964418,True,4,37
399,1025,False,4,11
400,256,False,4,8
401,1024,False,4,10
402,2048,False,4,11
403,256,False,4,8
404,7729153,False,4,53
405,1024,False,4,10
406,790528,False,4,54
407,5505024,False,4,23
408,2048,False,4,11
409,512,False,4,9
410,298752,False,4,33
411,2048,False,4,11
412,2048,False,4,11
