,budget,budget_upper_bound,max_neighborhood_size,n_players
0,144,False,1,25
1,98,False,1,17
2,136,False,1,22
3,93,False,1,20
4,126,False,1,23
5,143,False,1,23
6,114,False,1,21
7,135,False,1,24
8,148,False,1,24
9,144,False,1,24
10,106,False,1,21
11,118,False,1,21
12,146,False,1,25
13,90,False,1,16
14,77,False,1,16
15,127,False,1,23
16,159,False,1,25
17,147,False,1,25
18,119,False,1,21
19,140,False,1,23
20,138,False,1,24
21,106,False,1,20
22,114,False,1,21
23,147,False,1,24
24,144,False,1,24
25,130,False,1,22
26,127,False,1,22
27,125,False,1,22
28,142,False,1,25
29,90,False,1,17
30,139,False,1,24
31,86,False,1,16
32,114,False,1,22
33,131,False,1,22
34,126,False,1,25
35,147,False,1,24
36,110,False,1,20
37,144,False,1,25
38,86,False,1,17
39,89,False,1,18
40,139,False,1,25
41,126,False,1,24
42,110,False,1,18
43,151,False,1,24
44,94,False,1,18
45,94,False,1,14
46,119,False,1,21
47,135,False,1,23
48,135,False,1,21
49,122,False,1,21
50,82,False,1,15
51,143,False,1,24
52,77,False,1,13
53,135,False,1,24
54,82,False,1,15
55,105,False,1,18
56,139,False,1,25
57,142,False,1,24
58,140,False,1,23
59,155,False,1,24
60,156,False,1,25
61,126,False,1,23
62,125,False,1,21
63,142,False,1,24
64,127,False,1,23
65,105,False,1,20
66,140,False,1,24
67,119,False,1,21
68,131,False,1,23
69,130,False,1,23
70,135,False,1,23
71,86,False,1,15
72,144,False,1,24
73,106,False,1,20
74,143,False,1,25
75,139,False,1,25
76,115,False,1,21
77,143,False,1,25
78,136,False,1,23
79,105,False,1,18
80,135,False,1,24
81,136,False,1,24
82,122,False,1,23
83,126,False,1,22
84,136,False,1,24
85,94,False,1,14
86,126,False,1,24
87,114,False,1,21
88,97,False,1,18
89,123,False,1,22
90,148,False,1,25
91,57,False,1,12
92,143,False,1,25
93,89,False,1,18
94,135,False,1,24
95,125,False,1,23
96,110,False,1,20
97,113,False,1,20
98,118,False,1,21
99,118,False,1,20
100,90,False,1,17
101,126,False,1,24
102,158,False,1,25
103,109,False,1,19
104,142,False,1,25
105,97,False,1,20
106,139,False,1,25
107,122,False,1,24
108,98,False,1,17
109,114,False,1,19
110,139,False,1,21
111,136,False,1,23
112,101,False,1,20
113,135,False,1,24
114,132,False,1,22
115,135,False,1,24
116,105,False,1,20
117,131,False,1,23
118,143,False,1,25
119,90,False,1,16
120,123,False,1,23
121,110,False,1,21
122,97,False,1,19
123,114,False,1,21
124,106,False,1,20
125,81,False,1,17
126,160,False,1,23
127,139,False,1,25
128,114,False,1,21
129,121,False,1,19
130,74,False,1,14
131,98,False,1,18
132,123,False,1,21
133,118,False,1,22
134,115,False,1,20
135,93,False,1,18
136,122,False,1,22
137,142,False,1,23
138,131,False,1,22
139,82,False,1,15
140,122,False,1,21
141,131,False,1,23
142,134,False,1,24
143,118,False,1,22
144,97,False,1,18
145,78,False,1,13
146,89,False,1,18
147,115,False,1,20
148,134,False,1,24
149,97,False,1,20
150,98,False,1,19
151,126,False,1,25
152,127,False,1,24
153,106,False,1,20
154,147,False,1,21
155,159,False,1,25
156,134,False,1,25
157,57,False,1,11
158,122,False,1,24
159,113,False,1,19
160,110,False,1,20
161,72,False,1,16
162,143,False,1,25
163,69,False,1,12
164,125,False,1,24
165,139,False,1,23
166,138,False,1,24
167,140,False,1,25
168,143,False,1,24
169,139,False,1,21
170,143,False,1,24
171,148,False,1,25
172,155,False,1,25
173,127,False,1,23
174,122,False,1,21
175,117,False,1,23
176,73,False,1,15
177,141,False,1,23
178,139,False,1,24
179,143,False,1,25
180,94,False,1,17
181,110,False,1,20
182,119,False,1,21
183,97,False,1,18
184,118,False,1,22
185,126,False,1,22
186,130,False,1,24
187,131,False,1,23
188,152,False,1,25
189,122,False,1,23
190,134,False,1,24
191,130,False,1,25
192,131,False,1,23
193,135,False,1,22
194,117,False,1,22
195,118,False,1,22
196,147,False,1,25
197,129,False,1,25
198,127,False,1,24
199,145,False,1,23
200,143,False,1,25
201,131,False,1,22
202,118,False,1,22
203,94,False,1,16
204,142,False,1,25
205,106,False,1,17
206,159,False,1,25
207,102,False,1,20
208,151,False,1,24
209,127,False,1,22
210,69,False,1,16
211,151,False,1,24
212,122,False,1,23
213,131,False,1,22
214,122,False,1,24
215,155,False,1,25
216,131,False,1,23
217,119,False,1,22
218,122,False,1,21
219,129,False,1,25
220,110,False,1,20
221,102,False,1,19
222,140,False,1,25
223,66,False,1,11
224,160,False,1,25
225,143,False,1,25
226,85,False,1,17
227,134,False,1,22
228,135,False,1,25
229,64,False,1,12
230,135,False,1,22
231,152,False,1,25
232,142,False,1,24
233,139,False,1,24
234,135,False,1,24
235,111,False,1,19
236,78,False,1,15
237,118,False,1,20
238,142,False,1,24
239,118,False,1,22
240,118,False,1,21
241,87,False,1,15
242,143,False,1,24
243,89,False,1,15
244,118,False,1,20
245,152,False,1,25
246,56,False,1,13
247,41,False,1,8
248,103,False,1,18
249,110,False,1,20
250,135,False,1,21
251,70,False,1,14
252,81,False,1,16
253,119,False,1,21
254,119,False,1,21
255,142,False,1,25
