,budget,budget_upper_bound,max_neighborhood_size,n_players
0,5745,False,2,30
1,7537,False,2,33
2,5745,False,2,30
3,7537,False,2,33
4,5745,False,2,30
5,7537,False,2,33
6,5745,False,2,30
7,5745,False,2,30
8,7537,False,2,33
9,5745,False,2,30
10,5745,False,2,30
11,5745,False,2,30
12,7537,False,2,33
13,7537,False,2,33
14,7537,False,2,33
15,7537,False,2,33
16,6033,False,2,32
17,6513,False,2,32
18,6513,False,2,32
19,8305,False,2,35
20,6513,False,2,32
21,8305,False,2,35
22,8305,False,2,35
23,8369,False,2,36
24,6513,False,2,32
25,8305,False,2,35
26,8305,False,2,35
27,6513,False,2,32
28,7153,False,2,37
29,9137,False,2,42
30,9713,False,2,38
31,7793,False,2,34
32,7793,False,2,34
33,8433,False,2,36
34,6705,False,2,34
35,6513,False,2,32
36,6961,False,2,35
37,15985,False,2,41
38,5745,False,2,30
39,5745,False,2,30
40,5745,False,2,30
41,7537,False,2,33
42,7537,False,2,33
43,5745,False,2,30
44,7537,False,2,33
45,5745,False,2,30
46,7537,False,2,33
47,7537,False,2,33
48,7537,False,2,33
49,7537,False,2,33
50,5745,False,2,30
51,7537,False,2,33
52,5745,False,2,30
53,7537,False,2,33
54,8305,False,2,35
55,9201,False,2,38
56,9329,False,2,42
57,8433,False,2,36
58,7729,False,2,35
59,12273,False,2,40
60,8881,False,2,39
61,72945,False,2,42
62,12337,False,2,43
63,9201,False,2,38
64,19057,False,2,50
65,8689,False,2,37
66,8753,False,2,38
67,9713,False,2,44
68,12529,False,2,41
69,9329,False,2,42
70,73713,False,2,44
71,8049,False,2,36
72,4482,False,2,23
73,11377,False,2,34
74,13169,False,2,37
75,21073,False,2,36
76,5049,False,2,29
77,7904,False,2,36
78,7601,False,2,33
79,7537,False,2,33
80,8305,False,2,35
81,10097,False,2,38
82,23665,False,2,39
83,7537,False,2,33
84,6001,False,2,31
85,7793,False,2,34
86,6001,False,2,31
87,8209,False,2,42
88,12113,False,2,44
89,7537,False,2,33
90,6641,False,2,33
91,4706,False,2,27
92,4706,False,2,27
93,4706,False,2,27
94,4706,False,2,27
95,8930,False,2,34
96,10065,False,2,32
97,10065,False,2,32
98,11857,False,2,35
99,19025,False,2,38
100,18001,False,2,37
101,7057,False,2,35
102,6673,False,2,31
103,10161,False,2,34
104,23793,False,2,40
105,20209,False,2,37
106,18392,False,2,43
107,5598,False,2,33
108,7262,False,2,38
109,18334,False,2,57
110,13830,False,2,46
111,8465,False,2,34
112,6673,False,2,31
113,7857,False,2,35
114,6961,False,2,32
115,7857,False,2,35
116,7857,False,2,35
117,7985,False,2,36
118,16305,False,2,43
119,17585,False,2,46
120,9649,False,2,38
121,10417,False,2,40
122,10417,False,2,40
123,6818,False,2,32
124,8610,False,2,38
125,6818,False,2,32
126,6818,False,2,32
127,6818,False,2,32
128,7202,False,2,34
129,8913,False,2,36
130,9041,False,2,37
131,9137,False,2,42
132,41393,False,2,48
133,8689,False,2,39
134,13649,False,2,46
135,8465,False,2,36
136,8593,False,2,37
137,8593,False,2,37
138,17937,False,2,48
139,23616,False,2,54
140,6673,False,2,31
141,7441,False,2,33
142,8785,False,2,36
143,8785,False,2,36
144,7889,False,2,33
145,8785,False,2,36
146,9169,False,2,38
147,9553,False,2,38
148,15505,False,2,38
149,9617,False,2,40
150,10065,False,2,43
151,10065,False,2,43
152,10065,False,2,43
153,9521,False,2,38
154,8945,False,2,34
155,5745,False,2,30
156,8176,False,2,37
157,8176,False,2,37
158,7920,False,2,36
159,7728,False,2,34
160,6545,False,2,32
161,6545,False,2,32
162,6545,False,2,32
163,6545,False,2,32
164,6545,False,2,32
165,17378,False,2,35
166,17378,False,2,35
167,17922,False,2,40
168,17922,False,2,40
169,17922,False,2,40
170,50658,False,2,50
171,52866,False,2,52
172,51970,False,2,49
173,50178,False,2,46
174,50658,False,2,50
175,50178,False,2,46
176,50178,False,2,46
177,50178,False,2,46
178,50178,False,2,46
179,50178,False,2,46
180,50178,False,2,46
181,50178,False,2,46
182,51970,False,2,49
183,50946,False,2,48
184,19714,False,2,43
185,21506,False,2,43
186,18050,False,2,41
187,21506,False,2,46
188,34050,False,2,46
189,23298,False,2,46
190,21762,False,2,44
191,25090,False,2,52
192,30033,False,2,50
193,31989,False,2,53
194,33791,False,2,56
195,20401,False,2,47
196,18641,False,2,44
197,10562,False,2,31
198,11106,False,2,36
199,11106,False,2,36
200,11106,False,2,36
201,11106,False,2,36
202,11106,False,2,36
203,11106,False,2,36
204,11106,False,2,36
205,11106,False,2,36
206,10866,False,2,34
207,11314,False,2,37
208,43570,False,2,43
209,15154,False,2,41
210,23425,False,2,47
211,13793,False,2,44
212,43570,False,2,43
