,budget,budget_upper_bound,max_neighborhood_size,n_players
0,283,False,1,39
1,255,False,1,36
2,255,False,1,36
3,283,False,1,39
4,311,False,1,42
5,311,False,1,42
6,323,False,1,44
7,283,False,1,39
8,311,False,1,42
9,311,False,1,42
10,339,False,1,45
11,352,False,1,49
12,311,False,1,42
13,239,False,1,35
14,323,False,1,44
15,351,False,1,47
16,327,False,1,45
17,283,False,1,39
18,323,False,1,44
19,323,False,1,44
20,364,False,1,51
21,339,False,1,45
22,295,False,1,41
23,287,False,1,40
24,283,False,1,39
25,283,False,1,39
26,379,False,1,50
27,355,False,1,48
28,315,False,1,43
29,384,False,1,53
30,384,False,1,53
31,343,False,1,46
32,339,False,1,45
33,412,False,1,56
34,379,False,1,45
35,275,False,1,38
36,275,False,1,38
37,275,False,1,38
38,275,False,1,38
39,303,False,1,41
40,307,False,1,42
41,315,False,1,43
42,343,False,1,46
43,307,False,1,42
44,315,False,1,43
45,331,False,1,44
46,259,False,1,37
47,259,False,1,37
48,259,False,1,37
49,287,False,1,40
50,275,False,1,38
51,275,False,1,38
52,275,False,1,38
53,303,False,1,41
54,303,False,1,41
55,307,False,1,42
56,307,False,1,42
57,335,False,1,45
58,343,False,1,46
59,315,False,1,43
60,287,False,1,40
61,287,False,1,40
62,259,False,1,37
63,259,False,1,37
64,259,False,1,37
65,287,False,1,40
66,275,False,1,38
67,275,False,1,38
68,303,False,1,41
69,307,False,1,42
70,259,False,1,37
71,287,False,1,40
72,307,False,1,42
73,307,False,1,42
74,307,False,1,42
75,343,False,1,46
76,343,False,1,46
77,315,False,1,43
78,303,False,1,41
79,303,False,1,41
80,303,False,1,41
81,303,False,1,41
82,307,False,1,42
83,343,False,1,46
84,308,False,1,41
85,275,False,1,38
86,331,False,1,44
87,303,False,1,41
88,303,False,1,41
89,307,False,1,42
90,303,False,1,41
91,275,False,1,38
92,303,False,1,41
93,303,False,1,41
94,291,False,1,41
95,291,False,1,41
96,291,False,1,41
97,291,False,1,41
98,287,False,1,40
99,291,False,1,41
100,259,False,1,37
101,287,False,1,40
102,287,False,1,40
103,291,False,1,41
104,307,False,1,42
105,307,False,1,42
106,307,False,1,42
107,363,False,1,48
108,363,False,1,48
109,343,False,1,46
110,291,False,1,41
111,247,False,1,35
112,275,False,1,38
113,275,False,1,38
114,259,False,1,37
115,251,False,1,36
116,319,False,1,44
117,263,False,1,38
118,387,False,1,52
119,287,False,1,40
120,316,False,1,45
121,348,False,1,49
122,348,False,1,49
123,307,False,1,42
124,279,False,1,39
125,307,False,1,42
126,331,False,1,44
127,279,False,1,39
128,267,False,1,37
129,295,False,1,40
130,295,False,1,40
131,295,False,1,40
132,295,False,1,40
133,299,False,1,41
134,299,False,1,41
135,267,False,1,37
136,251,False,1,36
137,279,False,1,39
138,279,False,1,39
139,279,False,1,39
140,279,False,1,39
141,283,False,1,40
142,251,False,1,36
143,267,False,1,37
144,243,False,1,35
145,267,False,1,37
146,311,False,1,43
147,271,False,1,38
148,251,False,1,36
149,295,False,1,40
150,295,False,1,40
151,295,False,1,40
152,295,False,1,40
153,279,False,1,39
154,279,False,1,39
155,279,False,1,39
156,279,False,1,39
157,312,False,1,43
158,312,False,1,43
159,312,False,1,43
160,336,False,1,45
161,308,False,1,41
162,308,False,1,41
163,255,False,1,35
164,255,False,1,35
165,239,False,1,34
166,255,False,1,35
167,283,False,1,38
168,275,False,1,37
169,259,False,1,36
170,259,False,1,36
171,259,False,1,36
172,275,False,1,37
173,259,False,1,36
174,303,False,1,39
175,335,False,1,43
176,303,False,1,39
177,331,False,1,42
178,303,False,1,39
179,331,False,1,42
180,303,False,1,39
181,307,False,1,40
182,335,False,1,43
183,363,False,1,46
184,335,False,1,43
185,331,False,1,42
186,359,False,1,45
187,359,False,1,45
188,359,False,1,45
189,415,False,1,51
190,359,False,1,45
191,303,False,1,39
192,303,False,1,39
193,331,False,1,42
194,303,False,1,39
195,303,False,1,39
196,335,False,1,43
197,335,False,1,43
198,335,False,1,43
199,336,False,1,42
200,371,False,1,47
201,331,False,1,42
202,287,False,1,38
203,287,False,1,38
204,287,False,1,38
205,287,False,1,38
206,287,False,1,38
207,287,False,1,38
208,319,False,1,42
209,319,False,1,42
210,319,False,1,42
211,319,False,1,42
212,320,False,1,41
213,355,False,1,46
214,315,False,1,41
215,315,False,1,41
216,267,False,1,38
217,267,False,1,38
218,267,False,1,38
219,299,False,1,42
220,299,False,1,42
221,251,False,1,37
222,251,False,1,37
223,251,False,1,37
224,283,False,1,41
225,283,False,1,41
226,267,False,1,38
227,267,False,1,38
228,295,False,1,41
229,299,False,1,42
230,299,False,1,42
231,299,False,1,42
232,327,False,1,45
233,331,False,1,46
234,328,False,1,44
235,300,False,1,41
236,295,False,1,41
237,295,False,1,41
238,323,False,1,44
239,295,False,1,41
240,335,False,1,46
241,251,False,1,37
242,251,False,1,37
243,279,False,1,40
244,283,False,1,41
245,283,False,1,41
246,283,False,1,41
247,311,False,1,44
248,315,False,1,45
249,312,False,1,43
250,284,False,1,40
251,279,False,1,40
252,279,False,1,40
253,307,False,1,43
254,279,False,1,40
255,319,False,1,45
256,267,False,1,38
257,300,False,1,41
258,267,False,1,38
259,312,False,1,44
260,287,False,1,40
261,271,False,1,39
262,287,False,1,40
263,271,False,1,39
264,259,False,1,37
265,259,False,1,37
266,259,False,1,37
267,259,False,1,37
268,259,False,1,37
269,259,False,1,37
270,287,False,1,40
271,287,False,1,40
272,287,False,1,40
273,315,False,1,43
274,287,False,1,40
275,271,False,1,39
276,263,False,1,38
277,291,False,1,41
278,291,False,1,41
279,319,False,1,44
280,291,False,1,41
281,271,False,1,39
282,327,False,1,45
283,299,False,1,42
284,327,False,1,45
285,291,False,1,41
286,275,False,1,40
287,319,False,1,44
288,347,False,1,47
289,323,False,1,45
290,319,False,1,44
291,327,False,1,45
292,299,False,1,42
293,319,False,1,44
294,259,False,1,37
295,259,False,1,37
296,259,False,1,37
297,315,False,1,43
298,259,False,1,37
299,287,False,1,40
300,287,False,1,40
301,263,False,1,38
302,315,False,1,43
303,283,False,1,41
304,275,False,1,40
305,291,False,1,41
306,291,False,1,41
307,291,False,1,41
308,291,False,1,41
309,291,False,1,41
310,315,False,1,43
311,259,False,1,37
312,275,False,1,40
313,259,False,1,37
314,332,False,1,48
315,280,False,1,41
316,247,False,1,37
317,259,False,1,39
318,324,False,1,48
319,235,False,1,35
320,263,False,1,38
321,360,False,1,51
322,259,False,1,37
323,263,False,1,38
324,263,False,1,38
325,259,False,1,37
326,259,False,1,37
327,263,False,1,38
328,235,False,1,35
329,247,False,1,37
330,275,False,1,40
331,255,False,1,38
332,231,False,1,34
333,231,False,1,34
334,231,False,1,34
335,231,False,1,34
336,259,False,1,37
337,263,False,1,38
338,243,False,1,36
339,287,False,1,40
340,243,False,1,36
341,259,False,1,37
342,287,False,1,40
343,315,False,1,43
344,343,False,1,46
345,291,False,1,41
346,263,False,1,38
347,259,False,1,37
348,291,False,1,41
349,315,False,1,43
350,287,False,1,40
351,231,False,1,34
352,259,False,1,37
353,219,False,1,32
354,219,False,1,32
355,283,False,1,40
356,251,False,1,36
357,251,False,1,36
358,275,False,1,38
359,287,False,1,40
360,251,False,1,36
361,251,False,1,36
362,251,False,1,36
363,239,False,1,34
364,239,False,1,34
365,284,False,1,40
366,284,False,1,40
367,323,False,1,41
368,340,False,1,44
369,344,False,1,45
370,316,False,1,42
371,320,False,1,43
372,267,False,1,37
373,292,False,1,40
374,351,False,1,43
375,383,False,1,47
376,367,False,1,46
377,335,False,1,42
378,351,False,1,43
379,335,False,1,42
380,379,False,1,46
381,383,False,1,47
382,367,False,1,46
383,383,False,1,47
384,367,False,1,46
385,379,False,1,46
386,363,False,1,45
387,383,False,1,47
388,367,False,1,46
389,383,False,1,47
390,367,False,1,46
391,384,False,1,46
392,351,False,1,43
393,335,False,1,42
394,351,False,1,43
395,335,False,1,42
396,351,False,1,43
397,335,False,1,42
398,351,False,1,43
399,351,False,1,43
400,383,False,1,47
401,367,False,1,46
402,382,False,1,46
403,412,False,1,49
404,440,False,1,52
405,319,False,1,41
406,351,False,1,45
407,251,False,1,36
408,255,False,1,37
409,247,False,1,35
410,267,False,1,37
411,267,False,1,37
412,308,False,1,44
413,267,False,1,37
414,267,False,1,37
415,308,False,1,44
416,295,False,1,40
417,351,False,1,46
418,311,False,1,43
419,271,False,1,38
420,336,False,1,47
421,364,False,1,50
422,392,False,1,53
423,392,False,1,53
424,308,False,1,44
425,308,False,1,44
426,340,False,1,48
427,288,False,1,41
428,300,False,1,43
429,300,False,1,43
430,420,False,1,56
431,308,False,1,44
432,308,False,1,44
433,308,False,1,44
434,308,False,1,44
435,308,False,1,44
436,292,False,1,43
437,324,False,1,47
438,251,False,1,36
439,251,False,1,36
440,251,False,1,36
441,251,False,1,36
442,251,False,1,36
443,364,False,1,52
444,324,False,1,47
445,283,False,1,40
446,320,False,1,43
447,320,False,1,43
448,247,False,1,35
449,275,False,1,38
450,299,False,1,42
451,372,False,1,51
452,327,False,1,45
453,400,False,1,54
454,331,False,1,44
455,375,False,1,50
456,396,False,1,55
457,315,False,1,43
458,316,False,1,43
459,292,False,1,41
460,300,False,1,42
461,276,False,1,40
462,324,False,1,45
463,308,False,1,44
464,324,False,1,45
465,308,False,1,44
466,251,False,1,36
