,budget,budget_upper_bound,max_neighborhood_size,n_players
0,5422,False,2,30
1,5422,False,2,30
2,4526,False,2,27
3,5550,False,2,34
4,6909,False,2,40
5,7773,False,2,41
6,6141,False,2,38
7,8300,False,2,44
8,8332,False,2,44
9,4654,False,2,28
10,4526,False,2,27
11,7837,False,2,41
12,6190,False,2,32
13,5710,False,2,32
14,17741,False,2,47
15,5678,False,2,31
16,7774,False,2,40
17,9902,False,2,41
18,16973,False,2,45
19,14109,False,2,50
20,14109,False,2,50
21,15005,False,2,53
22,11101,False,2,45
23,8110,False,2,42
24,12461,False,2,59
25,10781,False,2,49
26,8925,False,2,46
27,6766,False,2,36
28,13373,False,2,52
29,8349,False,2,44
30,9789,False,2,56
31,9757,False,2,45
32,14781,False,2,60
33,10525,False,2,47
34,14109,False,2,50
35,6190,False,2,32
36,11357,False,2,50
37,14941,False,2,53
38,15517,False,2,57
39,47997,False,2,64
40,13757,False,2,56
41,11485,False,2,51
42,11933,False,2,54
43,22268,False,2,64
44,15517,False,2,57
45,7774,False,2,40
46,9902,False,2,41
47,5982,False,2,37
48,8670,False,2,43
49,10462,False,2,46
50,10893,False,2,50
51,19294,False,2,57
52,9566,False,2,46
53,138590,False,2,58
54,11902,False,2,44
55,14525,False,2,47
56,18893,False,2,49
57,16573,False,2,48
58,10325,False,2,45
59,8926,False,2,44
60,9822,False,2,47
61,11614,False,2,50
62,74334,False,2,53
63,12045,False,2,54
64,10078,False,2,48
65,10974,False,2,54
66,10494,False,2,49
67,14092,False,2,51
68,12461,False,2,59
69,13421,False,2,67
70,13421,False,2,67
71,13901,False,2,71
72,12461,False,2,59
73,12461,False,2,59
74,12461,False,2,59
75,12461,False,2,59
76,12461,False,2,59
77,12461,False,2,59
78,14253,False,2,62
79,14253,False,2,62
80,14253,False,2,62
81,14253,False,2,62
82,13229,False,2,61
83,14620,False,2,65
84,14620,False,2,65
85,12149,False,2,58
86,13229,False,2,61
87,13837,False,2,57
88,13325,False,2,57
89,15629,False,2,57
90,13357,False,2,62
91,20525,False,2,65
92,14108,False,2,66
93,12941,False,2,63
94,21758,False,2,34
95,20926,False,2,31
96,24510,False,2,37
97,23085,False,2,37
98,30701,False,2,53
99,30701,False,2,53
100,26157,False,2,54
101,25101,False,2,47
102,24365,False,2,51
103,28525,False,2,54
104,21182,False,2,32
105,25741,False,2,52
106,28429,False,2,56
107,30701,False,2,53
108,27117,False,2,47
109,27117,False,2,47
110,28941,False,2,54
111,21694,False,2,33
112,23949,False,2,49
113,25453,False,2,48
114,22366,False,2,43
115,31725,False,2,54
116,24510,False,2,37
117,21886,False,2,39
118,22366,False,2,43
119,21886,False,2,39
120,21886,False,2,39
121,22366,False,2,43
122,23085,False,2,37
123,23085,False,2,37
124,23085,False,2,37
125,8221,False,2,32
126,11325,False,2,34
127,7741,False,2,28
128,5021,False,2,26
129,6813,False,2,29
130,11877,False,2,32
131,12773,False,2,35
132,11333,False,2,33
133,13140,False,2,39
134,10981,False,2,29
135,17741,False,2,39
136,19181,False,2,51
137,18701,False,2,47
138,17741,False,2,39
139,17741,False,2,39
140,17741,False,2,39
141,25933,False,2,58
142,16941,False,2,55
143,16941,False,2,55
144,11565,False,2,49
145,16941,False,2,55
146,16941,False,2,55
147,16941,False,2,55
148,16941,False,2,55
149,20397,False,2,60
150,9581,False,2,39
151,16941,False,2,55
152,16941,False,2,55
153,13165,False,2,45
154,18733,False,2,58
155,17421,False,2,59
156,17837,False,2,58
157,6125,False,2,37
158,8749,False,2,36
159,6573,False,2,40
160,6381,False,2,38
161,10157,False,2,43
162,9261,False,2,46
163,4237,False,2,32
164,7324,False,2,39
165,6396,False,2,38
166,6029,False,2,35
167,6029,False,2,35
168,4717,False,2,36
169,5197,False,2,40
170,4237,False,2,32
171,4237,False,2,32
172,5165,False,2,33
173,7437,False,2,40
174,7437,False,2,40
175,6125,False,2,41
176,9709,False,2,44
177,6125,False,2,41
178,6605,False,2,45
179,7437,False,2,40
180,7437,False,2,40
181,9180,False,2,40
182,7981,False,2,42
183,4813,False,2,34
184,4717,False,2,36
185,6285,False,2,37
186,3949,False,2,35
187,2622,False,2,21
