,budget,budget_upper_bound,max_neighborhood_size,n_players
0,36648960,True,3,37
1,573440,False,3,23
2,79872,False,3,25
3,33792,False,3,24
4,217088,False,3,23
5,92160,False,3,24
6,15270400,True,3,26
7,366939424,True,3,88
8,14848,False,3,23
9,17664,False,3,32
10,16,False,3,4
11,16384,False,3,14
12,61440,False,3,42
13,57856,False,3,41
14,50176,False,3,36
15,10860227584,True,3,55
16,546021376,True,3,40
17,162680832,True,3,38
18,4,False,3,2
19,1523200,False,3,35
20,2988032,False,3,42
21,2941952,False,3,41
22,1635328,False,3,39
23,3387392,False,3,42
24,2207744,False,3,41
25,2849280,False,3,40
26,616448,False,3,37
27,1507328,False,3,23
28,212992,False,3,22
29,84992,False,3,34
30,50874368,True,3,38
31,50310144,True,3,38
32,12845056,False,3,39
33,256,False,3,8
34,38912,False,3,23
35,3909632,False,3,42
36,3680256,False,3,42
37,125,False,3,100
38,45056,False,3,24
39,835584,False,3,24
40,45623808,True,3,47
41,13451264,False,3,45
42,13058048,False,3,45
43,13058048,False,3,45
44,59629056,True,3,46
45,34085376,True,3,44
46,18176,False,3,30
47,40960,False,3,32
48,61440,False,3,33
49,512,False,3,9
50,76316992,True,3,27
51,4359167,False,3,39
52,65536,False,3,16
53,90112,False,3,18
54,128,False,3,7
55,114688,False,3,18
56,1024,False,3,10
57,720896,False,3,21
58,262144,False,3,18
59,1024,False,3,10
60,512,False,3,9
61,87808,False,3,39
62,20736,False,3,33
63,16384,False,3,29
64,12288,False,3,24
65,24576,False,3,25
66,35840,False,3,30
67,1806336,False,3,38
68,340992,False,3,28
69,52736,False,3,28
70,287700992,True,3,38
71,42240,False,3,40
72,1990656,False,3,40
73,3149824,False,3,42
74,14080,False,3,20
75,15360,False,3,19
76,7168,False,3,16
77,7680,False,3,17
78,139264,False,3,20
79,18432,False,3,18
80,1253376,False,3,33
81,29696,False,3,23
82,22528,False,3,23
83,355328,False,3,35
84,309760,False,3,33
85,93184,False,3,39
86,121600,False,3,40
87,229314560,True,3,38
88,87777280,True,3,40
89,35584,False,3,38
90,2446336,False,3,37
91,3274240,False,3,36
92,20736,False,3,34
93,600064,False,3,34
94,684032,False,3,32
95,25600,False,3,18
96,163839,False,3,32
97,12579697,False,3,34
98,1835008,False,3,30
99,32,False,3,5
100,9474048,False,3,45
101,6885376,False,3,42
102,4403961856,True,3,59
103,1589248,False,3,32
104,1765376,False,3,33
105,9216,False,3,17
106,1507328,False,3,39
107,581632,False,3,38
108,401408,False,3,35
109,7168,False,3,16
110,63488,False,3,26
111,48963584,True,3,51
112,47546368,True,3,52
113,34304,False,3,25
114,58880,False,3,27
115,45056,False,3,42
116,7991296,False,3,46
117,167261378,True,3,96
118,4096,False,3,12
119,4194304,False,3,22
120,1802239,False,3,42
121,16384,False,3,14
122,185814692864,True,3,90
123,16384,False,3,14
124,16384,False,3,14
125,8879104,False,3,32
126,2048,False,3,11
127,2056192,False,3,26
128,2048,False,3,11
129,1039,False,3,14
130,34816,False,3,18
131,65536,False,3,16
132,17408,False,3,17
133,255240832,True,3,32
134,8192,False,3,13
135,8,False,3,3
136,105472,False,3,22
137,65536,False,3,16
138,15695872,False,3,38
139,8192,False,3,13
