,budget,budget_upper_bound,max_neighborhood_size,n_players
0,196608,False,4,18
1,131072,False,4,17
2,409600,False,4,22
3,49152,False,4,16
4,45056,False,4,17
5,307200,False,4,20
6,45056,False,4,17
7,2834432,False,4,25
8,651264,False,4,21
9,655360,False,4,20
10,65536,False,4,16
11,81920,False,4,17
12,1310720,False,4,21
13,41984,False,4,23
14,112640,False,4,21
15,51200,False,4,21
16,401408,False,4,21
17,16777216,True,4,24
18,57344,False,4,24
19,16384,False,4,14
20,3670016,False,4,23
21,917504,False,4,21
22,45056,False,4,17
23,27841024,True,4,25
24,131072,False,4,17
25,409600,False,4,22
26,5373952,False,4,24
27,90112,False,4,18
28,696320,False,4,22
29,2097152,False,4,21
30,1572864,False,4,21
31,3145728,False,4,23
32,655360,False,4,20
33,245760,False,4,22
34,532480,False,4,20
35,65536,False,4,16
36,1015808,False,4,24
37,1048576,False,4,20
38,81920,False,4,17
39,196608,False,4,18
40,327680,False,4,23
41,1048576,False,4,20
42,524288,False,4,19
43,557056,False,4,24
44,4194304,False,4,22
45,532480,False,4,24
46,5373952,False,4,24
47,3801088,False,4,24
48,786432,False,4,20
49,3145728,False,4,22
50,309248,False,4,23
51,6422528,False,4,24
52,55296,False,4,23
53,139264,False,4,18
54,2439168,False,4,25
55,106496,False,4,19
56,2097152,False,4,23
57,512,False,4,9
58,712704,False,4,25
59,450560,False,4,22
60,163840,False,4,21
61,884736,False,4,23
62,2138112,False,4,23
63,2162688,False,4,24
64,16325120,True,4,24
65,16455680,True,4,25
66,83968,False,4,22
67,2097152,False,4,21
68,102400,False,4,20
69,22528,False,4,16
70,57344,False,4,17
71,360448,False,4,20
72,14870144,True,4,25
73,24576,False,4,16
74,139264,False,4,20
75,2244608,False,4,23
76,40960,False,4,22
77,227328,False,4,23
78,8388608,True,4,23
79,933888,False,4,24
80,262144,False,4,18
81,10240,False,4,14
82,149504,False,4,22
83,143360,False,4,24
84,28672,False,4,16
85,319488,False,4,21
86,262144,False,4,18
87,47104,False,4,24
88,294912,False,4,19
89,65536,False,4,16
90,1114112,False,4,21
91,110592,False,4,20
92,32768,False,4,15
93,360448,False,4,22
94,155648,False,4,24
95,180224,False,4,19
96,20480,False,4,19
97,270336,False,4,22
98,1638400,False,4,24
99,53248,False,4,17
100,622592,False,4,24
101,14336,False,4,15
102,4096,False,4,12
103,1376256,False,4,24
104,327680,False,4,19
105,1835008,False,4,22
106,106496,False,4,21
107,98304,False,4,24
108,64512,False,4,25
109,446464,False,4,25
110,884736,False,4,23
111,376832,False,4,23
112,262144,False,4,18
113,262144,False,4,18
114,307200,False,4,22
115,155648,False,4,19
116,6291456,False,4,24
117,16482240,True,4,25
118,655360,False,4,20
119,86016,False,4,21
120,2932736,False,4,25
121,14053184,True,4,24
122,14364416,True,4,24
123,1769472,False,4,24
124,1572864,False,4,22
125,57344,False,4,19
126,131072,False,4,17
127,114688,False,4,22
128,2359296,False,4,22
129,3538944,False,4,24
130,54272,False,4,23
131,581632,False,4,24
132,64512,False,4,25
133,40960,False,4,21
134,48128,False,4,23
135,147456,False,4,18
136,425984,False,4,24
137,786432,False,4,20
138,86016,False,4,20
139,114688,False,4,18
140,2048,False,4,11
141,57344,False,4,19
142,65536,False,4,16
143,401408,False,4,20
144,131072,False,4,17
145,32768,False,4,19
146,131072,False,4,17
147,524288,False,4,19
148,1835008,False,4,22
149,131072,False,4,17
150,884736,False,4,24
151,212992,False,4,20
152,1695744,False,4,25
153,262144,False,4,18
154,655360,False,4,20
155,57344,False,4,19
156,2654208,False,4,24
157,163840,False,4,24
158,1310720,False,4,21
159,1048576,False,4,20
160,4194304,False,4,24
161,1040384,False,4,25
162,23552,False,4,20
163,172032,False,4,24
164,98304,False,4,17
165,188416,False,4,24
166,1048576,False,4,22
167,6291456,False,4,25
168,32768,False,4,21
169,245760,False,4,22
170,409600,False,4,22
171,1277952,False,4,25
172,425984,False,4,20
173,1441792,False,4,22
174,4194304,False,4,22
175,2228224,False,4,22
176,1048576,False,4,20
177,28160,False,4,22
178,917504,False,4,21
179,65536,False,4,20
180,98304,False,4,18
181,16384,False,4,14
182,507904,False,4,24
183,786432,False,4,20
184,36864,False,4,20
185,14384512,True,4,24
186,14384512,True,4,24
187,2883584,False,4,23
188,6127616,False,4,25
189,78848,False,4,23
190,368640,False,4,23
191,1024,False,4,10
192,256,False,4,8
193,20480,False,4,15
194,180224,False,4,19
195,16384,False,4,14
196,24576,False,4,17
197,364544,False,4,24
198,32768,False,4,15
199,2396160,False,4,25
200,786432,False,4,20
201,2621440,False,4,22
202,2883584,False,4,23
203,2097152,False,4,24
204,81920,False,4,19
205,81920,False,4,20
206,53248,False,4,22
207,79872,False,4,24
208,16384,False,4,14
209,32768,False,4,19
210,80896,False,4,24
211,40960,False,4,16
212,5242880,False,4,23
213,262144,False,4,18
214,90112,False,4,20
215,3801088,False,4,24
216,622592,False,4,23
217,188416,False,4,22
218,1114112,False,4,25
219,16384,False,4,16
220,25600,False,4,23
221,26624,False,4,22
222,175104,False,4,24
223,126976,False,4,20
224,53248,False,4,23
225,40960,False,4,16
226,73728,False,4,23
227,89088,False,4,22
228,450560,False,4,23
229,115712,False,4,25
230,229376,False,4,21
231,59392,False,4,23
232,221184,False,4,21
233,622592,False,4,23
234,147456,False,4,20
235,8192,False,4,13
236,5603328,False,4,23
237,77824,False,4,21
238,294912,False,4,24
239,89088,False,4,24
240,2471936,False,4,25
241,28672,False,4,16
242,45056,False,4,24
243,38912,False,4,21
244,1310720,False,4,23
245,118784,False,4,23
246,6422528,False,4,24
247,81920,False,4,17
248,1458176,False,4,25
249,131072,False,4,19
250,1171456,False,4,25
251,96256,False,4,23
252,6029312,False,4,25
253,112640,False,4,21
254,245760,False,4,22
255,106496,False,4,19
256,1179648,False,4,23
257,212992,False,4,20
258,180224,False,4,19
259,6291456,False,4,23
260,15124864,True,4,25
261,1310720,False,4,21
262,1310720,False,4,21
263,47104,False,4,18
264,401408,False,4,23
265,16777216,True,4,24
266,16777216,True,4,24
267,1048576,False,4,20
268,1048576,False,4,20
269,2654208,False,4,25
270,3145728,False,4,22
271,79872,False,4,24
272,1769472,False,4,24
273,1671168,False,4,25
274,118784,False,4,25
275,5242880,False,4,25
276,3178496,False,4,24
277,385024,False,4,22
278,1146880,False,4,23
279,163840,False,4,22
280,312320,False,4,25
281,312320,False,4,25
282,917504,False,4,25
283,102400,False,4,19
284,141312,False,4,25
285,262144,False,4,18
286,1048576,False,4,20
287,8388608,True,4,23
288,143360,False,4,21
289,403456,False,4,23
290,2883584,False,4,23
291,43008,False,4,20
292,32768,False,4,19
293,3801088,False,4,24
294,29696,False,4,22
295,32768,False,4,19
296,2686976,False,4,23
297,94208,False,4,19
298,1179648,False,4,24
299,753664,False,4,24
300,221184,False,4,21
301,94208,False,4,23
302,33554432,True,4,25
303,180224,False,4,19
304,8257536,False,4,25
305,135168,False,4,25
306,278528,False,4,25
307,5505024,False,4,24
308,188416,False,4,24
309,155648,False,4,19
310,3571712,False,4,25
311,114688,False,4,21
312,303104,False,4,25
313,524288,False,4,21
314,8192,False,4,13
315,3932160,False,4,24
316,3080192,False,4,25
317,360448,False,4,25
318,221184,False,4,24
319,102400,False,4,25
320,1081344,False,4,23
321,188416,False,4,24
322,3080192,False,4,25
323,131072,False,4,22
324,5636096,False,4,25
325,450560,False,4,25
326,2555904,False,4,24
327,393216,False,4,23
328,212992,False,4,22
329,786432,False,4,25
330,59392,False,4,24
331,136192,False,4,25
332,89088,False,4,25
333,1310720,False,4,25
334,1835008,False,4,25
335,385024,False,4,22
336,4194304,False,4,22
337,229376,False,4,23
338,557056,False,4,24
339,86016,False,4,24
340,163840,False,4,20
341,237568,False,4,22
342,38400,False,4,24
343,87040,False,4,24
344,677888,False,4,23
345,32768,False,4,15
346,573440,False,4,25
347,192512,False,4,25
348,71680,False,4,23
349,100352,False,4,25
350,2293760,False,4,23
351,229376,False,4,25
352,239616,False,4,23
353,389120,False,4,25
354,1638400,False,4,25
355,286720,False,4,21
356,524288,False,4,19
357,1146880,False,4,24
358,221184,False,4,22
359,92160,False,4,25
360,262144,False,4,24
361,196608,False,4,23
362,36864,False,4,20
363,131072,False,4,19
364,294912,False,4,24
365,7864320,False,4,25
366,147456,False,4,20
367,1114112,False,4,23
368,135168,False,4,20
369,1310720,False,4,21
370,79872,False,4,24
371,75776,False,4,21
372,720896,False,4,21
373,139264,False,4,22
374,8192,False,4,13
375,374784,False,4,23
376,215040,False,4,25
377,1024,False,4,10
378,294912,False,4,21
379,430080,False,4,25
380,151552,False,4,24
381,2048,False,4,11
382,128,False,4,7
383,45056,False,4,17
384,1024,False,4,10
385,2048,False,4,11
386,16384,False,4,14
387,2566144,False,4,25
388,65536,False,4,16
389,147456,False,4,18
390,1081344,False,4,24
391,835584,False,4,23
392,2048,False,4,11
393,245760,False,4,24
394,786432,False,4,21
395,49152,False,4,17
396,2048,False,4,11
397,1048576,False,4,20
398,542720,False,4,21
399,131072,False,4,17
400,16384,False,4,14
401,14336,False,4,15
402,6144,False,4,13
403,2621440,False,4,22
404,128,False,4,7
405,8192,False,4,15
406,28672,False,4,18
407,98304,False,4,18
408,380928,False,4,21
409,2048,False,4,11
410,4096,False,4,12
411,8192,False,4,13
412,63488,False,4,19
413,16384,False,4,14
414,256,False,4,8
415,49152,False,4,16
416,208896,False,4,22
417,36864,False,4,18
418,428032,False,4,25
419,77824,False,4,20
420,1024,False,4,10
421,237568,False,4,20
422,81920,False,4,17
423,3047424,False,4,25
424,34816,False,4,23
425,278528,False,4,21
426,12288,False,4,14
427,1507328,False,4,23
428,442368,False,4,24
429,147456,False,4,25
430,8192,False,4,13
431,49152,False,4,16
432,182272,False,4,20
433,81920,False,4,19
434,161792,False,4,24
435,192512,False,4,25
436,75776,False,4,20
437,45056,False,4,20
438,28672,False,4,20
439,75776,False,4,25
440,94208,False,4,25
441,425984,False,4,22
442,32768,False,4,15
443,2916352,False,4,22
444,9216,False,4,15
445,39936,False,4,18
446,442368,False,4,23
447,512,False,4,9
448,135168,False,4,20
449,256,False,4,8
450,256,False,4,8
451,2048,False,4,11
452,16384,False,4,19
453,1085440,False,4,23
454,313856,False,4,23
455,57344,False,4,25
456,2277376,False,4,24
457,65536,False,4,16
458,122880,False,4,19
459,608768,False,4,24
460,534528,False,4,25
461,2150400,False,4,24
462,512,False,4,9
463,19456,False,4,19
464,36864,False,4,23
465,16384,False,4,14
466,18432,False,4,16
467,6930432,False,4,24
468,409600,False,4,24
469,573440,False,4,25
470,393216,False,4,19
471,1024,False,4,10
472,14054720,True,4,24
473,212992,False,4,22
474,520192,False,4,23
475,2031616,False,4,24
476,212992,False,4,25
477,1433600,False,4,24
478,3014656,False,4,24
479,237568,False,4,20
480,606208,False,4,21
481,72704,False,4,21
482,5242880,False,4,23
483,245760,False,4,20
484,131072,False,4,23
485,720896,False,4,24
486,4456448,False,4,25
487,31220096,True,4,25
488,122880,False,4,19
489,3276800,False,4,25
490,16384,False,4,14
491,18432,False,4,16
492,4096,False,4,12
493,31220096,True,4,25
494,16777216,True,4,24
495,1499136,False,4,25
496,65536,False,4,16
497,25600,False,4,18
498,69632,False,4,17
499,67584,False,4,24
500,524288,False,4,21
501,1114112,False,4,23
502,16384,False,4,14
503,49152,False,4,16
504,1024,False,4,10
505,100352,False,4,22
506,58368,False,4,20
507,128,False,4,7
508,114688,False,4,23
509,4096,False,4,12
510,278528,False,4,21
511,8192,False,4,13
512,2560,False,4,14
513,360448,False,4,20
514,83968,False,4,22
515,32768,False,4,15
516,786432,False,4,20
517,98304,False,4,23
518,753664,False,4,22
519,42496,False,4,25
520,1024,False,4,10
521,61440,False,4,18
522,589824,False,4,20
523,36864,False,4,16
524,4096,False,4,12
525,122880,False,4,19
526,32768,False,4,15
527,60416,False,4,24
528,8192,False,4,13
529,16384,False,4,14
530,4456448,False,4,23
531,131072,False,4,17
532,524288,False,4,19
533,786432,False,4,21
534,82432,False,4,25
535,48128,False,4,22
536,47104,False,4,18
537,229376,False,4,24
538,221184,False,4,25
539,151552,False,4,21
540,36864,False,4,22
541,352256,False,4,25
542,79872,False,4,23
543,499712,False,4,25
544,25600,False,4,23
545,38912,False,4,25
546,313344,False,4,23
547,3932160,False,4,24
548,397312,False,4,24
549,1114112,False,4,21
550,63488,False,4,21
551,49152,False,4,21
552,100352,False,4,22
553,131072,False,4,17
554,100352,False,4,25
555,73728,False,4,23
556,819200,False,4,23
557,610304,False,4,22
558,225280,False,4,24
559,245760,False,4,20
560,851968,False,4,22
561,63488,False,4,21
562,1474560,False,4,23
563,32768,False,4,20
564,319488,False,4,21
565,45056,False,4,17
566,59392,False,4,25
567,278528,False,4,25
568,7340032,False,4,24
569,90112,False,4,24
570,131072,False,4,17
571,253952,False,4,25
572,385024,False,4,25
573,1114112,False,4,23
574,1572864,False,4,24
575,29696,False,4,19
576,69632,False,4,21
577,40960,False,4,22
578,286720,False,4,22
579,204800,False,4,21
580,262144,False,4,25
581,393216,False,4,20
582,655360,False,4,24
583,7680,False,4,15
584,20736,False,4,19
585,24064,False,4,18
586,17664,False,4,18
587,163840,False,4,23
588,32768,False,4,19
589,75776,False,4,21
590,1114112,False,4,25
591,1196032,False,4,24
592,83968,False,4,24
593,212992,False,4,23
594,1589248,False,4,24
595,983040,False,4,25
596,655360,False,4,20
597,141312,False,4,21
598,311296,False,4,24
599,638976,False,4,24
600,319488,False,4,24
601,737280,False,4,20
602,434176,False,4,24
603,278528,False,4,23
604,106496,False,4,19
605,122880,False,4,19
606,70656,False,4,22
607,11264,False,4,16
608,17408,False,4,22
609,22528,False,4,20
610,69632,False,4,21
611,3276800,False,4,25
612,2228224,False,4,24
613,61440,False,4,19
614,44544,False,4,24
615,176128,False,4,24
616,16128,False,4,22
617,1900544,False,4,23
618,425984,False,4,20
619,212992,False,4,20
620,36352,False,4,25
621,4194304,False,4,22
622,90112,False,4,18
623,11398144,True,4,25
624,8388608,True,4,23
625,49152,False,4,22
626,491520,False,4,23
627,704512,False,4,22
628,110592,False,4,19
629,393216,False,4,19
630,17920,False,4,17
631,64512,False,4,25
632,196608,False,4,21
633,87040,False,4,24
634,133120,False,4,23
635,106496,False,4,19
636,6029312,False,4,25
637,802816,False,4,21
638,33280,False,4,25
639,5242880,False,4,24
640,1048576,False,4,20
641,65536,False,4,22
642,761856,False,4,22
643,21504,False,4,22
644,57344,False,4,22
645,41984,False,4,25
646,71680,False,4,24
