,budget,budget_upper_bound,max_neighborhood_size,n_players
0,1669,False,2,17
1,1190,False,2,13
2,1190,False,2,13
3,3637,False,2,19
4,695,False,2,11
5,5516,False,2,28
6,1134,False,2,16
7,1774,False,2,20
8,695,False,2,12
9,1614,False,2,17
10,2101,False,2,17
11,3708,False,2,20
12,3693,False,2,22
13,951,False,2,13
14,3412,False,2,19
15,4317,False,2,22
16,1159,False,2,11
17,2038,False,2,17
18,790,False,2,13
19,1678,False,2,18
20,1086,False,2,18
21,1614,False,2,17
22,3948,False,2,23
23,7441,False,2,27
24,1614,False,2,17
25,887,False,2,13
26,4323,False,2,23
27,1614,False,2,17
28,3286,False,2,23
29,3580,False,2,23
30,4605,False,2,22
31,2478,False,2,24
32,1998,False,2,23
33,790,False,2,13
34,1614,False,2,17
35,1118,False,2,14
36,662,False,2,17
37,806,False,2,15
38,1374,False,2,15
39,1190,False,2,13
40,1614,False,2,17
41,791,False,2,13
42,3013,False,2,19
43,1669,False,2,17
44,559,False,2,12
45,4323,False,2,23
46,3356,False,2,22
47,1301,False,2,17
48,1581,False,2,20
49,1870,False,2,16
50,5659,False,2,26
51,5691,False,2,26
52,1806,False,2,19
53,1525,False,2,19
54,1358,False,2,14
55,1301,False,2,17
56,1766,False,2,21
57,5043,False,2,25
58,4204,False,2,23
59,2438,False,2,19
60,1614,False,2,17
61,503,False,2,11
62,944,False,2,23
63,2318,False,2,20
64,1502,False,2,16
65,894,False,2,16
66,4221,False,2,20
67,4323,False,2,23
68,2462,False,2,19
69,1111,False,2,14
70,5915,False,2,26
71,1526,False,2,16
72,1326,False,2,16
73,3492,False,2,23
74,1054,False,2,18
75,607,False,2,10
76,1134,False,2,16
77,1102,False,2,16
78,1301,False,2,17
79,3637,False,2,19
80,591,False,2,12
81,5285,False,2,25
82,1526,False,2,16
83,431,False,2,11
84,3980,False,2,23
85,3580,False,2,23
86,1526,False,2,16
87,559,False,2,12
88,1607,False,2,13
89,4979,False,2,23
90,4787,False,2,25
91,3044,False,2,19
92,4723,False,2,23
93,3444,False,2,19
94,2182,False,2,19
95,4804,False,2,25
96,1678,False,2,18
97,1190,False,2,13
98,2158,False,2,15
99,926,False,2,16
100,4723,False,2,23
101,4254,False,2,26
102,3044,False,2,19
103,4979,False,2,23
104,2101,False,2,17
105,3996,False,2,20
106,4661,False,2,25
107,3381,False,2,19
108,6746,False,2,28
109,3134,False,2,24
110,431,False,2,11
111,2166,False,2,15
112,887,False,2,13
113,1102,False,2,16
114,695,False,2,12
115,367,False,2,10
116,1798,False,2,21
117,4323,False,2,23
118,2198,False,2,21
119,951,False,2,13
120,4917,False,2,25
121,2980,False,2,21
122,1430,False,2,17
123,695,False,2,11
124,3044,False,2,19
125,1981,False,2,20
126,1798,False,2,21
127,2166,False,2,15
128,1015,False,2,14
129,735,False,2,11
130,854,False,2,19
131,735,False,2,11
132,2677,False,2,21
133,3356,False,2,22
134,503,False,2,11
135,3740,False,2,20
136,4349,False,2,22
137,791,False,2,13
138,695,False,2,11
139,2126,False,2,16
140,775,False,2,11
141,1853,False,2,20
142,767,False,2,12
143,695,False,2,11
144,894,False,2,16
145,862,False,2,16
146,791,False,2,13
147,2166,False,2,15
148,1581,False,2,20
149,928,False,2,12
150,1095,False,2,12
151,3325,False,2,22
152,2166,False,2,15
153,703,False,2,12
154,1015,False,2,14
155,695,False,2,12
156,3708,False,2,20
157,1774,False,2,20
158,3708,False,2,20
159,1087,False,2,14
160,5659,False,2,26
161,2478,False,2,24
162,3356,False,2,22
163,4124,False,2,22
164,2981,False,2,19
165,3964,False,2,23
166,4092,False,2,22
167,431,False,2,11
168,887,False,2,13
169,1701,False,2,17
170,2478,False,2,24
171,695,False,2,12
172,1766,False,2,21
173,3661,False,2,22
174,3117,False,2,22
175,695,False,2,12
176,2381,False,2,20
177,1191,False,2,13
178,1102,False,2,22
179,7002,False,2,28
180,695,False,2,11
181,1278,False,2,14
182,4092,False,2,22
183,4317,False,2,22
184,1079,False,2,13
185,695,False,2,12
186,2980,False,2,21
187,1526,False,2,16
