,budget,budget_upper_bound,max_neighborhood_size,n_players
0,65536,False,4,16
1,12546866057216,True,4,72
2,16384,False,4,14
3,188604416,True,4,36
4,13648489984,True,4,41
5,2048,False,4,11
6,485369344,True,4,35
7,256,False,4,8
8,56381952,True,4,46
9,32312821248,True,4,50
10,4423680,False,4,28
11,65536,False,4,16
12,4096,False,4,12
13,21823322112,True,4,42
14,854043408,True,4,56
15,131072,False,4,17
16,4849664,False,4,31
17,16384,False,4,14
18,67108864,True,4,26
19,8192,False,4,13
20,3407872,False,4,38
21,4357573632,True,4,39
22,2850816,False,4,24
23,753664,False,4,22
24,2097152,False,4,21
25,114297856,True,4,33
26,1073741824,True,4,30
27,8451793664,True,4,48
28,16384,False,4,14
29,16777216,True,4,24
30,118157824,True,4,32
31,32677888,True,4,26
32,17235456,True,4,34
33,1048576,False,4,20
34,42428416,True,4,41
35,1024,False,4,10
36,262144,False,4,18
37,796072704,True,4,62
38,4320548996,True,4,165
39,2048,False,4,11
40,16777216,True,4,24
41,73762816,True,4,29
42,1566310400,True,4,35
43,262144,False,4,18
44,262144,False,4,18
45,10898432,True,4,27
46,16131508224,True,4,42
47,4194304,False,4,22
48,262144,False,4,18
49,47718400,True,4,30
50,786432,False,4,20
51,131072,False,4,17
52,16777216,True,4,24
53,134217728,True,4,27
54,52226833408,True,4,94
55,33554432,True,4,25
56,2350561280,True,4,34
57,96995328,True,4,44
58,655359,False,4,37
59,2523136,False,4,26
60,262144,False,4,18
61,1207046839808,True,4,45
62,10518528,False,4,44
63,1420177920,True,4,35
64,1523712,False,4,31
65,4194304,False,4,22
66,1979410646272,True,4,47
67,5636096,False,4,26
68,17606656,True,4,26
69,3670016,False,4,23
70,15618048,True,4,29
71,602456064,True,4,30
72,4194304,False,4,22
73,603523584,True,4,35
74,131072,False,4,17
75,322465792,True,4,38
76,134217728,True,4,27
77,903710720,True,4,48
78,536870912,True,4,29
79,6193152,False,4,31
80,1829869568,True,4,31
81,4096,False,4,12
82,96565248,True,4,28
83,200001024,True,4,34
84,33554432,True,4,25
85,524288,False,4,19
86,2048,False,4,11
87,12284719796480,True,4,64
88,1629585408,True,4,36
89,265846016,True,4,39
90,32768,False,4,15
91,10770436096,True,4,40
92,8388608,True,4,23
93,17391559936,True,4,53
94,1073741824,True,4,30
95,306726912,True,4,32
96,16384,False,4,14
97,256,False,4,8
98,9732096,False,4,26
99,56403968,True,4,26
100,16384,False,4,14
101,4011241269504,True,4,47
102,16384,False,4,14
103,319635456,True,4,39
104,7532288032768,True,4,73
105,1641696295040,True,4,68
106,268435456,True,4,28
107,24390144,True,4,26
108,1703939,False,4,23
109,67873024,True,4,44
110,65536,False,4,16
111,2785280,False,4,27
112,17606664,True,4,28
113,8192,False,4,13
114,39970560,True,4,28
115,67256320,True,4,43
116,8388608,True,4,23
117,262144,False,4,18
118,31529728,True,4,35
119,17461504,True,4,25
120,819200,False,4,20
121,10383403008,True,4,42
122,300322816,True,4,37
123,3014656,False,4,24
124,34258944,True,4,44
125,105055232,True,4,32
126,4194304,False,4,22
127,5389639680,True,4,57
128,524288,False,4,19
129,262144,False,4,18
130,154511360,True,4,31
131,453405619028736,True,4,69
132,16777216,True,4,24
133,141190670,True,4,106
134,1114112,False,4,23
135,95887360,True,4,27
136,32768,False,4,15
137,4194304,False,4,22
138,4681028096,True,4,55
139,65536,False,4,16
140,78772224,True,4,30
141,83525334016,True,4,60
142,174687232,True,4,58
143,5488762880,True,4,38
144,241138944,True,4,57
145,174715960,True,4,60
146,2654208,False,4,29
147,131072,False,4,17
148,13648814208,True,4,57
149,67108864,True,4,26
150,58520064,True,4,35
151,4849664,False,4,31
152,40955904,True,4,26
153,32768,False,4,15
154,2097152,False,4,25
155,131072,False,4,17
156,179167872,True,4,32
157,32,False,4,5
158,1758336000,True,4,85
159,33143296,True,4,27
160,4587520,False,4,30
161,23427925673472,True,4,68
162,35928064,True,4,26
163,524288,False,4,19
164,79490405376,True,4,38
165,2555904,False,4,24
166,4776641540,True,4,39
167,14215662080,True,4,75
168,4259840,False,4,24
169,1368064,False,4,21
170,3109529600,True,4,38
171,524289,False,4,20
172,131072,False,4,17
173,58975360,True,4,36
174,189767168,True,4,44
175,1989386368,True,4,45
176,256,False,4,8
177,1151719424,True,4,73
178,2621440,False,4,23
179,21162496,True,4,25
180,327680,False,4,21
181,51370752,True,4,36
182,63277056,True,4,67
183,318577792,True,4,31
184,131072,False,4,17
185,352800512,True,4,42
186,262144,False,4,18
187,131072,False,4,17
188,32768,False,4,15
189,16384,False,4,14
190,5505024,False,4,28
191,262144,False,4,18
192,16,False,4,4
193,45406208,True,4,28
194,512,False,4,9
195,65542,False,4,20
196,262144,False,4,18
197,4096,False,4,12
198,1048576,False,4,20
199,8388608,True,4,23
200,385141760,True,4,35
201,1570877440,True,4,37
202,284452352,True,4,78
203,128478208,True,4,44
204,132401152,True,4,29
205,4096,False,4,12
206,884376336,True,4,56
207,1048576,False,4,20
208,23521536,True,4,28
209,28946432,True,4,29
210,8192,False,4,13
211,67108864,True,4,26
212,21563392,True,4,28
213,589824,False,4,20
214,620962824,True,4,42
215,32768,False,4,15
216,1420052992,True,4,35
217,16777216,True,4,24
218,1835008,False,4,24
219,2170847232,True,4,78
220,71682334738,True,4,108
221,32768,False,4,15
222,28863232,True,4,35
223,3145728,False,4,22
224,11403264,False,4,26
225,585691136,True,4,35
226,524288,False,4,19
227,262144,False,4,18
228,1048576,False,4,20
229,524288,False,4,19
230,8388608,True,4,23
231,6720960640,True,4,46
232,187863040,True,4,28
233,642463232,True,4,34
234,4423680,False,4,34
235,5383850752,True,4,58
236,33554432,True,4,25
237,667089408,True,4,31
238,4784128,False,4,29
239,32768,False,4,15
240,65536,False,4,16
241,2146304,False,4,33
242,13291920136,True,4,69
243,8192,False,4,13
244,373218048,True,4,34
245,32768,False,4,15
246,148967980975394,True,4,116
247,1048576,False,4,20
248,262144,False,4,18
249,436193792,True,4,35
250,67108864,True,4,26
251,65536,False,4,16
252,14546467840,True,4,39
253,760309760,True,4,36
254,1703936,False,4,21
255,1172068352,True,4,41
256,2097152,False,4,21
257,458752,False,4,20
258,16384,False,4,14
259,221281767424,True,4,70
260,131072,False,4,17
261,138698752,True,4,32
262,1441792,False,4,22
263,393547520,True,4,33
264,48403456,True,4,29
265,4194307,False,4,24
266,2883584,False,4,23
267,7585792,False,4,36
268,4194305,False,4,23
269,262144,False,4,18
270,262144,False,4,18
271,67108864,True,4,26
272,65536,False,4,16
273,7864320,False,4,47
274,622592,False,4,27
275,131072,False,4,17
276,952016920,True,4,55
277,79,False,4,10
278,32709974,True,4,367
279,579869696,True,4,33
280,2048,False,4,11
281,5636096,False,4,28
282,136235520,True,4,31
283,632224768,True,4,43
284,1330773504,True,4,39
285,32768,False,4,15
286,4776641540,True,4,39
287,1048576,False,4,20
288,778779776,True,4,48
289,16777216,True,4,24
290,77663566848,True,4,57
291,5518962688,True,4,37
292,4718592,False,4,23
293,2048,False,4,11
294,131072,False,4,17
295,4194304,False,4,22
296,3350706046,True,4,162
297,128,False,4,7
298,32768,False,4,15
299,239300096,True,4,34
300,2048,False,4,11
301,11796480,False,4,36
302,47120977460,True,4,125
303,3932160,False,4,37
304,9846784,False,4,35
305,65537,False,4,17
306,288122995712,True,4,75
307,536870912,True,4,29
308,1048576,False,4,20
309,65537,False,4,17
310,512,False,4,9
311,24680448,True,4,25
312,467368960,True,4,49
313,505641216,True,4,41
314,131072,False,4,17
315,11019747328,True,4,52
316,601841431040,True,4,41
317,378574848,True,4,34
318,4964352,False,4,24
319,35174581760,True,4,39
320,262144,False,4,18
321,147193856,True,4,96
322,88594432,True,4,34
323,1048576,False,4,20
324,710522880,True,4,44
325,1511260160,True,4,64
326,131072,False,4,17
327,91942912,True,4,28
328,65536,False,4,16
329,360448,False,4,20
330,650084352,True,4,35
331,47443835465984,True,4,68
332,16777216,True,4,24
333,6234112,False,4,28
334,4096,False,4,12
335,1310720,False,4,21
336,2424832,False,4,22
337,2129920,False,4,30
338,2097152,False,4,21
339,32713466,True,4,272
340,893749248,True,4,34
341,64,False,4,6
342,48095488,True,4,31
343,13518848,True,4,29
344,2346582016,True,4,62
345,8192,False,4,13
346,67108864,True,4,26
347,131072,False,4,17
348,524288,False,4,19
349,105566208,True,4,30
350,51222027264,True,4,88
351,502028288,True,4,36
352,1920380928,True,4,87
353,1024,False,4,10
354,262144,False,4,18
355,60068608,True,4,32
356,4096,False,4,12
357,16385,False,4,15
358,393888512,True,4,40
359,349814656,True,4,34
360,1009012736,True,4,34
361,262144,False,4,18
362,5211829248,True,4,55
363,21852160,True,4,28
364,1024,False,4,10
365,524288,False,4,19
366,10379264,False,4,32
367,1048576,False,4,20
368,39136256,True,4,29
369,1998848,False,4,33
370,173497472,True,4,33
371,176117760,True,4,31
372,32768,False,4,15
373,16384,False,4,14
374,3407872,False,4,23
375,557056,False,4,22
376,1769472,False,4,25
377,76070912,True,4,30
378,65536,False,4,16
379,78235648,True,4,28
380,4653056,False,4,28
381,4194304,False,4,22
382,5881856,False,4,30
383,262144,False,4,18
384,37394432,True,4,37
385,2097152,False,4,21
386,11599878,False,4,41
387,8388608,True,4,23
388,455237888,True,4,32
389,16777216,True,4,24
390,950969344,True,4,33
391,65536,False,4,16
392,65536,False,4,16
393,262144,False,4,18
394,165185792,True,4,38
395,567228416,True,4,41
396,2424832,False,4,30
397,9825525768,True,4,43
398,425984,False,4,20
399,3145728,False,4,22
400,1048576,False,4,20
401,2293760,False,4,25
402,11779584,True,4,24
403,40288512,True,4,32
404,1048576,False,4,20
405,2588672,False,4,25
406,306846720,True,4,34
407,2197463040,True,4,35
408,65536,False,4,16
409,3424256,False,4,29
410,1024,False,4,10
411,32768,False,4,15
412,4096,False,4,12
413,65536,False,4,16
414,65894400,True,4,30
415,262144,False,4,18
416,352344320,True,4,30
417,512,False,4,9
418,303300608,True,4,35
419,112694792,True,4,39
420,5963776,False,4,31
421,262144,False,4,18
422,262144,False,4,18
423,31151168,True,4,26
424,1002421248,True,4,35
425,54179271688,True,4,59
426,7340032,False,4,24
427,2097152,False,4,21
428,4718592,False,4,28
429,2250657792,True,4,42
430,262144,False,4,18
431,262144,False,4,18
432,65536,False,4,16
433,720896,False,4,24
434,64963584,True,4,45
435,387696640,True,4,35
436,1024,False,4,10
437,65536,False,4,16
438,128,False,4,7
439,59881986,True,4,52
440,262144,False,4,18
441,3433513639680,True,4,58
442,3325952,False,4,27
443,33554432,True,4,25
444,58064896,True,4,30
445,32768,False,4,15
446,2097152,False,4,21
447,22880711489536,True,4,82
448,2048,False,4,11
449,124670208,True,4,28
450,2097152,False,4,21
451,187863040,True,4,28
452,16777216,True,4,24
453,2794048000,True,4,35
454,1425465344,True,4,38
455,5373952,False,4,31
456,84860928,True,4,30
457,159998472,True,4,63
458,262144,False,4,18
459,187863040,True,4,28
460,9175040,False,4,29
461,54850048,True,4,32
462,4194304,False,4,22
463,74070016,True,4,27
464,7340159,False,4,31
465,524288,False,4,19
466,1572864,False,4,21
467,7176192,False,4,44
468,4096,False,4,12
469,16384,False,4,14
470,2097155,False,4,24
471,27940864,True,4,28
472,211725824,True,4,33
473,3276800,False,4,25
474,41532928,True,4,30
475,17179869184,True,4,34
476,4194304,False,4,22
477,262144,False,4,18
478,764132352,True,4,64
479,399859819749888,True,4,82
480,42673890381824,True,4,57
481,1048576,False,4,20
482,262144,False,4,18
483,2555904,False,4,24
484,131072,False,4,17
485,524288,False,4,19
486,208824320,True,4,30
487,889758720,True,4,33
488,91942912,True,4,28
489,7600518144,True,4,57
490,55000064,True,4,35
491,131072,False,4,17
492,41404416,True,4,32
493,5636096,False,4,32
494,32768,False,4,15
495,8912896,False,4,24
496,16384,False,4,14
497,3602082306,True,4,93
498,524288,False,4,19
499,67108864,True,4,26
500,305545728,True,4,33
501,35333632,True,4,27
502,268435456,True,4,28
503,67108864,True,4,26
504,51271900928,True,4,76
505,25657344,True,4,44
506,1048576,False,4,20
507,3297357824,True,4,33
508,262144,False,4,18
509,278528,False,4,21
510,10731520,False,4,43
511,524288,False,4,19
512,266825728,True,4,35
513,92676096,True,4,30
514,8195,False,4,15
515,2048,False,4,11
516,589824,False,4,20
517,37597184,True,4,28
518,94,False,4,14
519,524288,False,4,19
520,142664704,True,4,45
521,1637746688,True,4,37
522,2818048,False,4,27
523,65959424,True,4,47
524,512,False,4,9
525,22425088,True,4,28
526,65536,False,4,16
527,580658184,True,4,40
528,80812032,True,4,47
529,3424256,False,4,35
530,30638080,True,4,28
531,25272320,True,4,36
532,4718592,False,4,23
533,131072,False,4,17
534,27131904,True,4,27
535,4456448,False,4,25
536,134217728,True,4,27
537,2048,False,4,11
538,4096,False,4,12
539,16384,False,4,14
540,27941888,True,4,29
541,42548295424,True,4,65
542,32768,False,4,15
543,18257664,True,4,33
544,983040,False,4,22
545,146087398912,True,4,43
546,16384,False,4,14
547,101896192,True,4,74
548,2359296,False,4,34
549,580052480,True,4,31
550,65536,False,4,16
551,2097152,False,4,21
552,8192,False,4,13
553,32768,False,4,15
554,589824,False,4,21
555,3375104,False,4,27
556,8388608,True,4,23
557,262144,False,4,18
558,212385792,True,4,30
559,667089408,True,4,31
560,9437183,False,4,55
561,2333539328,True,4,48
562,1153652736,True,4,38
563,2408448,False,4,37
564,8388608,True,4,23
565,364983808,True,4,37
566,64,False,4,6
567,5251383552,True,4,48
568,131072,False,4,17
569,14347264,True,4,31
570,26477568,True,4,40
571,7077888,False,4,27
572,131072,False,4,17
573,2097152,False,4,21
574,256,False,4,8
575,375243731456,True,4,44
576,2305839212032,True,4,55
577,58643200,True,4,38
578,407054336,True,4,30
579,28424192,True,4,29
580,5767168,False,4,24
581,282654720,True,4,34
582,29147727504128,True,4,95
583,524288,False,4,19
584,1769472,False,4,24
585,65536,False,4,16
586,525728512,True,4,46
587,288530432,True,4,32
588,2097152,False,4,21
589,2048,False,4,11
590,4096,False,4,12
591,19103744,False,4,49
592,1226186752,True,4,36
593,4194304,False,4,22
594,33345792,True,4,28
595,1024,False,4,10
596,33554432,True,4,25
597,2719744,False,4,25
598,11534336,False,4,31
599,88972800,True,4,43
600,16777216,True,4,24
601,4718592,False,4,34
602,8192,False,4,13
603,2359296,False,4,22
604,65536,False,4,16
605,2930855936,True,4,37
606,131072,False,4,17
607,65536,False,4,16
608,394320384,True,4,38
609,269031424,True,4,32
610,449508737536,True,4,45
611,4194304,False,4,22
612,268564480,True,4,32
613,192020480,True,4,35
614,2483604224,True,4,36
615,12985344,True,4,28
616,1048576,False,4,20
617,5985599488,True,4,54
618,84460032,True,4,38
619,131072,False,4,17
620,1081344,False,4,30
621,524288,False,4,19
622,56000512,True,4,45
623,67108864,True,4,26
624,4079616,False,4,26
625,65536,False,4,16
626,8388608,True,4,23
627,1159787008,True,4,42
628,187134976,True,4,54
629,32768,False,4,15
630,524288,False,4,19
631,1024,False,4,10
632,32768,False,4,15
633,8192,False,4,13
634,22639616,True,4,32
635,32768,False,4,15
636,7340032,False,4,24
637,131075,False,4,19
638,604494344,True,4,43
639,49180672,True,4,47
640,1048703,False,4,27
641,49999104,True,4,30
642,46585344,True,4,28
643,2228224,False,4,24
644,53759744,True,4,33
645,25499712,True,4,28
646,5505024,False,4,36
647,18920373248,True,4,54
648,128,False,4,7
649,1048576,False,4,20
650,113867008,True,4,34
651,830851072,True,4,35
652,5046272,False,4,32
653,2048,False,4,11
654,262144,False,4,18
655,54898688,True,4,38
656,25327012179968,True,4,73
657,2097152,False,4,21
658,6041787392,True,4,60
659,65536,False,4,16
660,28942848,True,4,32
661,5570560,False,4,32
662,260416768,True,4,36
663,13302929408,True,4,67
664,32768,False,4,15
665,16384,False,4,14
666,16384,False,4,14
667,14385151,False,4,67
668,323663872,True,4,33
669,1048576,False,4,20
670,65536,False,4,16
671,3407872,False,4,38
672,4718598,False,4,30
673,266182656,True,4,36
674,30836224,True,4,30
675,436803584,True,4,38
676,92814225408,True,4,38
677,42031616,True,4,38
678,12129280,True,4,30
679,4718592,False,4,26
680,114851840,True,4,38
681,90112,False,4,21
682,10551296,False,4,35
683,311371776,True,4,35
684,229959680,True,4,32
685,9981950533376,True,4,83
686,2048,False,4,11
687,13228288,True,4,31
688,131072,False,4,17
689,8192,False,4,13
690,1376259,False,4,25
691,286346368,True,4,40
692,786432,False,4,20
693,2785280,False,4,27
694,128,False,4,7
695,262144,False,4,18
696,34551808,True,4,32
697,342414080,True,4,33
698,196927488,True,4,28
699,32768,False,4,15
700,178789888,True,4,43
701,198691968,True,4,36
702,71245824,True,4,28
703,4390912,False,4,27
704,1687552,False,4,28
705,230291456,True,4,32
706,9388035,False,4,46
707,134217728,True,4,27
708,8388608,False,4,26
709,298579968,True,4,42
710,34396416,True,4,33
711,67108864,True,4,26
712,512,False,4,9
713,16384,False,4,14
714,8650752,False,4,28
715,10637922304,True,4,51
716,1770188800,True,4,35
717,65536,False,4,16
718,2794196992,True,4,36
719,5277640446208,True,4,97
720,259763712,True,4,44
721,1048576,False,4,20
722,8126464,False,4,27
723,1667072,False,4,36
724,71203321344,True,4,43
725,10519821568,True,4,44
726,16384,False,4,14
727,196927488,True,4,28
728,67108864,True,4,26
729,24109312,True,4,28
730,377327616,True,4,33
731,2097152,False,4,21
732,1414475776,True,4,36
733,1146880,False,4,28
734,4111360,False,4,22
735,94425600,True,4,31
736,16384,False,4,14
737,61062528,True,4,26
738,131072,False,4,17
739,262144,False,4,18
740,192458752,True,4,34
741,1048576,False,4,20
742,526317568,True,4,33
743,93531772186,True,4,112
744,53082240,True,4,29
745,6962207404544,True,4,72
746,524288,False,4,19
747,16777216,True,4,24
748,8192,False,4,13
749,131072,False,4,17
750,3866624,False,4,31
751,262144,False,4,18
752,524288,False,4,19
753,2624203776,True,4,38
754,18852864,True,4,39
755,101859328,True,4,55
756,262144,False,4,18
757,10207232,False,4,41
758,512,False,4,9
759,32768,False,4,15
760,360448,False,4,20
761,16384,False,4,14
762,340443136,True,4,39
763,2097152,False,4,21
764,224377344,True,4,29
765,42736896,True,4,29
766,524288,False,4,19
767,16777216,True,4,24
768,33554432,True,4,25
769,131072,False,4,17
770,318634312,True,4,52
771,281440977920,True,4,76
772,4096,False,4,12
773,867428872,True,4,39
774,2228224,False,4,28
775,3227648,False,4,27
776,1048576,False,4,20
777,1466368,False,4,44
778,1177528320,True,4,38
779,8192,False,4,13
780,13107200,False,4,30
781,1507328,False,4,25
782,34478080,True,4,30
783,71962435092,True,4,109
784,13520076800,True,4,43
785,991232,False,4,32
786,1442042624,True,4,41
787,1048576,False,4,20
788,56770560,True,4,30
789,128,False,4,7
790,2598416128,True,4,50
791,65536,False,4,16
792,16384,False,4,14
793,16384,False,4,14
794,2785280,False,4,27
795,1376256,False,4,24
796,65536,False,4,16
797,524288,False,4,19
798,1638400,False,4,22
799,360271872,True,4,32
800,2969274368,True,4,40
801,112055552,True,4,28
802,3145728,False,4,22
803,64,False,4,6
804,124968960,True,4,28
805,1638400,False,4,28
806,2048,False,4,11
807,904010496,True,4,94
808,771833344,True,4,88
809,416665600,True,4,35
810,1007742976,True,4,35
811,148615168,True,4,30
812,65536,False,4,16
813,47298048,True,4,34
814,92344320,True,4,33
815,153262980,True,4,69
816,28680192,True,4,30
817,16384,False,4,14
818,237919346176,True,4,42
819,21543424,True,4,30
820,7798784,False,4,42
821,65536,False,4,16
822,2048,False,4,11
823,830851072,True,4,35
824,33554432,True,4,25
825,722300928,True,4,44
826,477044992,True,4,32
827,148323328,True,4,39
828,85297152,True,4,65
829,155030684160,True,4,57
830,15133312,True,4,27
831,23440288256,True,4,46
832,5111808,False,4,28
833,420483072,True,4,36
834,1949696,False,4,27
835,393216,False,4,24
836,5898240,False,4,34
837,10354688,False,4,30
838,219506176,True,4,36
839,19744800,True,4,30
840,1247742464,True,4,52
841,123025664,True,4,31
842,393216,False,4,19
843,16384,False,4,14
844,6488064,False,4,38
845,2588672,False,4,25
846,524288,False,4,19
847,966811648,True,4,30
848,131072,False,4,17
849,233472,False,4,28
850,27224576,True,4,32
851,1048576,False,4,20
852,56134144,True,4,39
853,913567744,True,4,73
854,4653056,False,4,29
855,131072,False,4,17
856,42428416,True,4,41
857,655360,False,4,20
858,557056,False,4,26
859,2084745216,True,4,42
860,116973568,True,4,96
861,53067524,True,4,48
862,169431040,True,4,50
863,6890479616,True,4,42
864,819200,False,4,21
865,4096,False,4,12
866,8192,False,4,13
867,32,False,4,5
