,budget,budget_upper_bound,max_neighborhood_size,n_players
0,82767,False,2,42
1,2240,False,2,27
2,1024,False,2,10
3,162560,False,2,24
4,2048,False,2,11
5,9732608,False,2,336
6,795389,False,2,108
7,13181662,False,2,154
8,1600,False,2,19
9,704,False,2,11
10,1184,False,2,20
11,8202843,False,2,52
12,2816,False,2,21
13,74061,False,2,44
14,2880,False,2,20
15,4160,False,2,40
16,3072,False,2,23
17,2289566,False,2,285
18,1347856,False,2,56
19,2560,False,2,27
20,1282621,False,2,481
21,6912,False,2,54
22,1825450,False,2,67
23,4096,False,2,12
24,159232,False,2,36
25,2170549,False,2,126
26,1108150,False,2,98
27,6500014,False,2,39
28,330515,False,2,53
29,38126,False,2,47
30,32077,False,2,45
31,7071,False,2,16
32,309752,False,2,58
33,1600,False,2,14
34,2304,False,2,27
35,1504,False,2,23
36,3872,False,2,38
37,52260,False,2,45
38,435592,False,2,33
39,414804,False,2,89
40,4672,False,2,50
41,1408,False,2,15
42,2468540,False,2,101
43,1504,False,2,21
44,93312,False,2,25
45,3744,False,2,32
46,201845,False,2,72
47,35584,False,2,19
48,27904,False,2,34
49,29270,False,2,39
50,2048,False,2,11
51,18944,False,2,31
52,439019,False,2,180
53,179200,False,2,23
54,2336,False,2,20
55,94239,False,2,36
56,1286137,False,2,57
57,4608,False,2,34
58,13568,False,2,19
59,559622,False,2,43
60,23097,False,2,20
61,2624,False,2,23
62,33216,False,2,28
63,3602448,False,2,122
64,11072,False,2,22
65,3492992,False,2,70
66,33295,False,2,50
67,1024,False,2,10
68,9600,False,2,27
69,2304,False,2,26
70,6560,False,2,41
71,18944,False,2,19
72,215040,False,2,22
73,1756247,False,2,72
74,224125,False,2,76
75,64,False,2,6
76,2332793160,True,2,620
77,1089827,False,2,59
78,5308995,False,2,38
79,2048,False,2,23
80,2592,False,2,21
81,4544,False,2,23
82,2304,False,2,31
83,44544,False,2,16
84,55808,False,2,23
85,128,False,2,7
86,51200,False,2,26
87,16501,False,2,38
88,2432,False,2,22
89,3008,False,2,25
90,12126854,False,2,170
91,24136801,False,2,186
92,113699,False,2,58
93,2560,False,2,14
94,1408,False,2,12
95,3863,False,2,15
96,1108844,False,2,60
97,12544,False,2,22
98,268593,False,2,88
99,714880,False,2,33
100,745543,False,2,50
101,62776,False,2,60
102,157696,False,2,54
103,19584,False,2,24
104,34944,False,2,38
105,2048,False,2,11
106,36936896,True,2,244
107,2534657,False,2,80
108,68352,False,2,22
109,2496,False,2,28
110,2880,False,2,23
111,2810372,False,2,113
112,23296,False,2,18
113,16640,False,2,21
114,18272,False,2,37
115,155639,False,2,41
116,245389,False,2,51
117,23616,False,2,34
118,155454,False,2,54
119,1984,False,2,25
120,41604,False,2,32
121,8146,False,2,24
122,455349,False,2,62
123,64559928,True,2,156
124,78739,False,2,38
125,2176,False,2,22
126,4736,False,2,19
127,3488,False,2,27
128,1920,False,2,13
129,208709,False,2,55
130,43968,False,2,38
131,736,False,2,16
132,4567,False,2,20
133,141760,False,2,34
134,61408,False,2,49
135,1168209,False,2,54
136,4480,False,2,23
137,284249,False,2,77
138,997267,False,2,69
139,3124066,False,2,122
140,2208,False,2,28
141,32052608,True,2,51
142,791999,False,2,99
143,4494799,False,2,136
144,6784,False,2,30
145,190995,False,2,34
146,5120,False,2,29
147,1049987,False,2,45
148,1952,False,2,23
149,12799,False,2,44
150,1536,False,2,18
151,5120,False,2,19
152,3424,False,2,30
153,1447170,False,2,126
154,580351,False,2,58
155,9216,False,2,35
156,538179,False,2,54
157,1144298,False,2,82
158,9728,False,2,31
159,275589,False,2,48
160,10600256,True,2,188
161,5413142,False,2,133
162,234058,False,2,40
163,93952,False,2,39
164,1549614,False,2,94
165,3264,False,2,35
166,2048,False,2,11
167,2293441,False,2,87
168,1984,False,2,16
169,102307,False,2,26
170,32640,False,2,19
171,275520,False,2,75
172,9728,False,2,21
173,27806,False,2,27
174,421547680,True,2,80
175,17408,False,2,15
