,runtime_graphshapiq,budget,n_players,mse_KernelSHAPIQ,runtime_KernelSHAPIQ,mse_SVARMIQ,runtime_SVARMIQ,mse_InconsistentKernelSHAPIQ,runtime_InconsistentKernelSHAPIQ,mse_SHAPIQ,runtime_SHAPIQ,mse_PermutationSamplingSII,runtime_PermutationSamplingSII,mse_L_Shapley,runtime_L_Shapley
10,1.4725537300109863,5519.0,28.0,0.06583112052221231,1.367710828781128,0.037314168396979666,1.5490093231201172,0.1701487792680997,1.3661644458770752,0.13050593834546304,0.9905745983123779,0.05223086893637826,0.6851575374603271,4.056540687341655,0.22573232650756836
16,1.4179010391235352,5214.0,31.0,0.08371279358915114,1.4290857315063477,0.05465271536322338,1.7532005310058594,0.05357858059348839,1.4790661334991455,0.14594404212185302,0.9296813011169434,0.07607834144380708,0.8285627365112305,3.1873105134916857,0.28844571113586426
18,1.8418123722076416,7164.0,26.0,0.0231766728352833,1.7163043022155762,0.04693553917620671,1.9361722469329834,0.04312789686150711,1.822542428970337,0.20797610440011297,1.2257380485534668,0.09149265642595462,1.0787723064422607,11.37898192654908,0.3506343364715576
20,2.015470027923584,6526.0,38.0,0.06557687919192391,2.106227159500122,0.02689203388379605,2.7924675941467285,0.09879704967278823,2.2158548831939697,0.16946426678171866,1.5107405185699463,0.04653939710289653,1.0616893768310547,1.9325113449192344,0.4063589572906494
22,1.2549686431884766,3997.0,24.0,0.07546158948702131,0.8992958068847656,0.05650218574455367,1.1113438606262207,0.06544795548007029,0.97884202003479,0.16098224032558647,0.8655989170074463,0.08252348083908713,0.5322918891906738,8.334614167458916,0.18010568618774414
23,0.861018180847168,2831.0,22.0,0.12419635492893213,0.6004214286804199,0.02290756093410383,0.7439389228820801,0.1102805824764412,0.6218669414520264,0.16163187468047346,0.46012258529663086,0.0981297577350336,0.42937779426574707,2.417556328283156,0.1456296443939209
24,1.6037847995758057,5167.0,21.0,0.10990209237253484,1.103827953338623,0.014681071824312036,1.2419195175170898,0.09144064153135321,1.2392032146453857,0.0736524658156506,0.9525907039642334,0.0849867954540238,0.6377439498901367,7.005900725682766,0.1557140350341797
25,2.6057188510894775,8718.0,33.0,0.1469071031756221,2.5777761936187744,0.012565768389619153,3.0328545570373535,0.13600312726013095,2.5420081615448,0.06505819106538521,1.7117090225219727,0.028399081978903017,1.210789442062378,4.9138425034682545,0.5419588088989258
31,1.7235841751098633,6157.0,26.0,0.09611471906011888,1.4605712890625,0.05774058897725199,1.7718863487243652,0.05987548763654032,1.644383430480957,0.12101302717028035,1.157444715499878,0.05067171652698427,0.7732911109924316,9.919299876780546,0.37230420112609863
32,2.540985107421875,8158.0,34.0,0.052453437396262674,2.4004132747650146,0.019170751006379615,3.1449546813964844,0.04207298433074736,2.52020001411438,0.2517092869839007,1.730114221572876,0.04184321416609248,1.2224361896514893,1.70856867910231,0.4002721309661865
33,1.383119821548462,4367.0,20.0,0.08174805369156435,1.080566167831421,0.05084126365026122,1.0392532348632812,0.055588320819480855,1.1001036167144775,0.021252255249300987,0.9073150157928467,0.08308912700279351,0.6208162307739258,7.2056012763500314,0.15541458129882812
40,2.9117319583892822,8239.0,24.0,0.04278419402492456,2.1719794273376465,0.00310727855085774,2.244447708129883,0.03619819844646968,2.223700523376465,0.01172036069471623,1.57110595703125,0.04025754717530428,1.331181287765503,3.0380807182506637,0.28643059730529785
41,1.8906347751617432,5711.0,29.0,0.10544782279246265,1.654395580291748,0.015528291906098553,1.9018704891204834,0.08449874538190992,1.6939105987548828,0.09976290944650505,1.0602245330810547,0.026866288719676768,0.8806822299957275,3.4592696767105253,0.3272738456726074
45,1.3852965831756592,4495.0,27.0,0.09197580263272397,1.2768001556396484,0.08205063103735845,1.367267370223999,0.09056000863496445,1.2858843803405762,0.06854289887393347,0.8703041076660156,0.07756035837216599,0.810753583908081,7.615296874173051,0.2821173667907715
49,2.6629488468170166,7822.0,30.0,0.09665647104221868,2.4182677268981934,0.014071679433387083,2.8548688888549805,0.1243480557760879,2.5656065940856934,0.054130532534924475,1.655627727508545,0.05344911386734212,1.1636335849761963,5.120045169472238,0.3745558261871338
50,0.7651431560516357,2255.0,20.0,0.011611741126801302,0.5036919116973877,0.01336956803025237,0.5594797134399414,0.023400472377294982,0.6158623695373535,0.6202436608935064,0.42365288734436035,0.032728514818704035,0.3404364585876465,3.2198563317124886,0.12949824333190918
52,2.9603610038757324,8239.0,24.0,0.026643426771886837,2.300135374069214,0.009983357642471618,2.313964366912842,0.042149946140091696,2.444777250289917,0.009384867660759584,1.6213397979736328,0.02536867535464555,1.2352495193481445,2.904837276186594,0.4036834239959717
